Name,Job Title,Company,Software Usage,Overall Rating,Ease of Use,Customer Service,Features,Value for Money,Likelihood to Recommend,Source,Date,Overall,Pro,Cons
Sharon S.,Accountant,"Accounting, Self-employed",2+ years,4,4,3,4,5,10,Capterra,02/06/2019,,"Quickbooks Nonprofit is an excellent software.  Granted it does take a while to learn how to customize individual reports, but I have been using it for years and it I can't think of a more straight forward software to use for nonprofit clients.  ",Quickbooks tends to slow down the laptop a touch.
Verified Reviewer,,"Individual & Family Services, 11-50 employees",2+ years,5,5,5,5,,9,Capterra,09/11/2018,,Software is very helpful and easy to use especially if you don't understand the nonprofit exceptions.,Can become a little pricey as you build and continue services.
Rexie M.,Director,"Automotive, 1-10 employees",Less than 6 months,4,5,,4,,8,Capterra,23/02/2023,Good! Have used QuickBooks products for a couple of years now and it has helped to streamline business processes and ensure no invoice goes unpaid. ,"Fairly easy to use, can connect with bank, has app, lots of reports and accountant access. Also like the HR bolt on.",App is glitchy / freezes regularly. Cannot get an Average Invoice Value report. 
paula b.,independiente,"Computer Software, Self-employed",I used a free trial,5,5,5,5,5,10,Capterra,23/01/2023,Estamos en el negocio usando QuickBooks para resolver problemas todos los días. El seguimiento de la nómina es más eficiente que los registros en papel porque mi oficina no llevaban un buen control con las nominas.,Lo que más me gusta de QuickBooks Online Advanced es que le facilita a los contadores a hacer sus facturaciones . Las organizaciones hacen un seguimiento de las cosas que son más revelantes a la hora de trabajar y para mi es un buen sistema ya que soy independiente en mi trabajo.,"Lo más inútil de QuickBooks en línea es que nadie está ahí para ti, pero la línea de soporte es absolutamente increíble, como si alguien estuviera ahí para ti. Su sistema de apoyo también es el número uno."
Verified Reviewer,,"Textiles, 1-10 employees",Less than 6 months,2,4,3,3,3,1,Capterra,18/04/2022,,Integrated with 3rd party vendor to handle raw inventory management. ,"We previously were on QBO pre 2016 and moved to Xero b/c QBO did not have the ability to process invoices in multi currency.   We were told by QBO this had changed and so as a result paid to migrate back.

HUGE MISTAKE  

YES - QBO will let you CREATE an invoice in multiple currencies 
NO - QBO will not let PROCESS an invoice in multiple currencies 

No where is their terms does it mention this.... https://quickbooks.intuit.com/ca/payments/legal-documents/canada-pricing-schedule/

Normally I would not take the time to write a review but am hoping by sharing our experience we might save other SMEs the aggravation of finding out this the hard way."
Jennifer L.,ACT Manager,"Construction, 11-50 employees",1-2 years,4,4,5,4,4,9,Capterra,11/12/2019,Less data entry saving time to work on other things. ,"Easy importing from bank statements
Attachment ability to all invoices and bills 
Layout of the program is clean and easy to use 
",No ability it do progress invoicing. This means having the ability to bill small portions of an estimate at a time.  
Tara G.,Co-owner,"Construction, 1-10 employees",6-12 months,5,4,,4,,8,Capterra,11/12/2019,,"I love the accessibility from home, work, on the road. It has helped so much with our business. Compared to Desktop, I like the reconciliation process better through QBO.","Sometimes getting where I want to be, links aren't where I think they should be, or I can't find what I am looking for. But being a new user, I am still getting used to the layout compared to Desktop."
Megan M.,Executive Admininstrator ,"Non-Profit Organization Management, 11-50 employees",6-12 months,5,5,5,5,5,10,Capterra,11/12/2019,Reports are what we strive on with our organization.  This program can give you every report you can possible want that works for you. ,I love how versatile this online product is. We seem to operate much smoother working from online. We are now capable of easily signing in from home and able to work from home. ,Sometime the process of signing online can be difficult to some of our staff. 
Lisa W.,Director of People Operations,"E-Learning, 11-50 employees",6-12 months,4,5,2,4,5,8,Capterra,11/12/2019,I have used QB in either a desktop or online product for the last 10 years.  I love the product and am excited to see its growth into the accounting market.,I like the ease with which you can set up and edit a chart of accounts and integrate with other apps.,"I wish Intuit did a better job of providing training materials.  Even though it is easy to figure most functions out, I want to make the most of the product.
"
Kat P.,Finance Associate,"Non-Profit Organization Management, 1-10 employees",2+ years,5,5,4,4,4,9,Capterra,02/04/2019,"Quickbooks allows non-profits to easily store and manage their financial data.  It is very easy to learn the system and, because of this, can be easily integrated in to the workplace.  Overall, I think QB is a great system for nonprofits that are too small for a large system like Intacct.","The software is easy-to-use and intuitive.  What I particularly like about Quickbooks is that there are several different ways to do a task.  Financial information is very easy to enter, maintain and process.  One of the best features of QB are the reports, which are very customizable and helpful for understanding who owes you, who you owe, etc.  Finally, there are many add-ons, which is very helpful and would allow most non-profits to run an organization entirely through the program if they chose.","Quickbooks seems to be continually improving its systems and the company really seems to listen to customer feedback.  That being said, there are several functions that can be frustrating.  For example, undoing reconciliations.  In addition, while the reports are very customizable, their features are not exhaustive.  "
William T.,Staff Accountant,"Medical Practice, 51-200 employees",2+ years,4,4,3,5,4,7,Capterra,03/07/2018,,"My company uses Quickbooks Nonprofit specifically for payroll services. It has certain features absent from quickbooks online. Namely the ability to use multiple classes for an individual. 
The software is very affordable and if you work for a small to medium sized nonprofit organization, this is probably the best value. 
The software is very user friendly, and even a non-accountant can be quite proficient. ","The software is not easily transfered to other software programs. For instance, even when you export a report to Excel, it includes blank spaces between columns, and some include row headers in different columns. This makes some cleaning up necessary if a pivot table is desired. "
Stephanie B.,Job Administration,"Construction, 1-10 employees",6-12 months,4,4,3,5,,9,Capterra,28/06/2023,"It's been great, this way we don't have as much paperwork clogging up the filing in the office and we are able to get jobs recorded faster. Also great from the office side as people don't always work in the same office so we can all work on it together and it doesn't create issues. ",It is easy enough to use this when it comes to billing customers for the bigger projects. We can keep track of the expenses for the job sites and it's all tied into the same job so we don't have to go searching into different systems to see an overall view of how the work is going from the office side.,Sometimes the system can lag or you have to double click on boxes to put information in. When trying to get it done pretty quickly that can be a little annoying but overall not that big of a deal
Bianca W.,Secretary Treasurer ,"Transportation/Trucking/Railroad, 11-50 employees",6-12 months,5,5,5,5,5,10,Capterra,08/06/2023,"We will continue to use this software for our business, it does everything we need it to do and the price is very reasonable. ",QuickBooks is very simple to use! I needed a software to create and send invoices for the small company I work at. We have a small trucking company with 20+ employees and we work for over 50 different companies that we invoice almost daily. This software does everything we need,"I wish there were a few more features for customizing invoices. I would like to be able to make my own custom columns that are more relevant for our business (VIN numbers, etc) You are pretty much stuck with the columns that are offered. You can pick and choose which categories to include on your invoice but you are unable to create your own. "
Evan O.,Executive Director,"Non-Profit Organization Management, 1-10 employees",2+ years,4,2,3,5,1,2,Capterra,17/07/2022,Quickbooks is a great options if you are not on a budget and don't mind paying for the features. Easy reporting tools along with the tagging system makes tracking easy.,QuickBooks has some great features. The two feature we used the most was the reporting tools and the tagging ability. Both these combines allowed us to create multiple reports to accurately track our accounts.,"The biggest downside with QuickBooks is the fee structure if you want all the useful features you have to pay a lot for it, which I'm not sure it is worth."
Verified Reviewer,,"Transportation/Trucking/Railroad, 1-10 employees",2+ years,5,5,4,3,5,8,Capterra,12/09/2021,Great,"Depending on the size of your business you choose the option that is both suitable and affordable for your business. No need to buy complicated package of-which you are not going to use the bulk of functionality. The price is reasonable. Attractive for today's digital business environment, you can send an invoice from your phone on the go. No need to call the accountant in the office.",Reporting need to improve allow more flexibility. Perhaps one need to be allowed to customise their own reports through a platform that you can drag and drop your data according to your requirements.
Cheryl P.,Owner,"Accounting, 1-10 employees",Less than 6 months,5,5,5,5,4,10,Capterra,03/02/2023,I am very happy with the product and how it helps my productivity. ,I love Quickbooks. It makes invoicing very easy. The reporting is very easy and can easily be converted to excel or pdf. ,It's a tiny bit pricey. I think the monthly subscription is a bit high. 
Verified Reviewer,,"Food & Beverages, 1-10 employees",2+ years,5,5,4,5,5,10,Capterra,05/11/2021,Love it ,"Easy to use 
Accurate and fast 
Customisable ",Most difficult part was integration of payroll data 
Blake B.,Virtual Receptionist,"Medical Practice, 11-50 employees",1-2 years,5,5,5,5,5,10,Capterra,11/12/2019,We've been able to cut down on time spent managing finances and also save money in the process.,"This software is easy to use to process payments, manage payroll, budget and more!",Sometimes the system is slow and buggy but works great most of the time.
Haley W.,Membership and Operations Manager,"Philanthropy, 1-10 employees",2+ years,3,5,,3,2,3,SoftwareAdvice,04/12/2018,"Unless you really need the non-profit specific features, just get Quickbooks premier and choose non-profit as your industry. You'll get some of the customization of the non-profit version and save money. ","It changes some of the standard Quickbooks features to be non-profit specific, like changing invoices to be called pledges and renaming some reports. That can be helpful so everyone (staff, board, accountant, auditor, etc) is on the same page when talking about things. ","Regular Quickbooks is cheaper. If your accountant uses Quickbooks and your organization uses Quickbooks Non-profit, they can't export your data and work on it with their software, they'll have to use yours. "
Heather D.,Tax Prep,"Accounting, 1-10 employees",2+ years,4,4,4,4,3,8,Capterra,12/12/2022,Now that I am familiar and comfortable with the program I am happy with the overall experience. ,"I able to log in to the program anywhere, either at work or at home. ","Until you are used to where features are, it is very difficult to find what you need. Also some tasks are unavailable depending on what version of QBO you purchase. If using for the first time you will have to devote a fair amount of time to learning. "
Kyle C.,General Manger ,"Sports, 11-50 employees",6-12 months,4,5,4,4,5,8,Capterra,15/11/2022,Been using this software for about a year now and it is a one stop shop for all your business needs. ,This is probably the easiest software i have come across to learn and to implement.  ,I haven't come across anything in particular that i haven't liked
Carmel R.,Owner,"Insurance, Self-employed",6-12 months,3,3,4,4,3,7,Capterra,13/10/2021,Overall this software meets my business needs!  It helps me manage my day to day business operations and it has everything in the software to benefit my business and to help me stay on track.  Also another important feature I like about this software is the fact I can track my sales and sales tax.  I have to keep track of that to ensure I pay the correct amount of sales tax at year end.,I am fairly a new user to this software and still have a lot to learn.  The thing I like the most is the online support.  If I ever need help my questions get answered quickly!  I like the marketing automation tool the best!  It allows me to get other stuff done on time and I love the quick reminders so I will not forget stuff I have to take care of!  Also the uploads and imports features work extremely fast as far as processing than other software programs I have used.,"I think I was overwhelmed by a lot of features it offers and the time it takes me to get through them all.  Sometimes I get confused on what to use for what I need.  But as a newbie less than 7 months it just takes some time to get use to.  I use the main functions like the manage cash flow, track miles, and manage and pay bills.  The only other con is the cost, it is a little pricey!"
Ali H.,IT Systems Manager,"Oil & Energy, 51-200 employees",Less than 6 months,4,4,5,3,3,8,Capterra,12/05/2021,"Over multiple software I tried, I concluded that it's the best to use for financial record ( we have been using Quickbooks desktop enterprise and SAP )","How easyyou can create invoice and receipt, and how easy is to imlement. 
Most importantly is that all data are on the cloud so they are protected.
also the technical support are very helpful and easy to reach.","The formats of print template, it's very hard to create a custom template specially if you are trying to create A5 template as in my case"
Amy R.,Office administrator,"Non-Profit Organization Management, 1-10 employees",2+ years,5,5,5,4,5,9,Capterra,08/05/2020,It saves me time compared to what we were using before.  The help search feature almost always has answers to solve my problem.  ,"The desk top version is economical for our purposes.  The reports are easy to produce for our board, and the file can be easily shared with our accountant. ","I'm sure we could be using project management and budgeting features better but with so many separate projects going on at the same time with different start and end dates, I haven't been able to find a way to do this. The one time I did need live customer service, the person didn't follow up with me as he said he would. "
Dawn R.,Accountant ,"Accounting, 51-200 employees",2+ years,5,5,4,4,4,8,Capterra,11/12/2019,Love it,Love that the system is Very user Friendly. ,Would like to see better Reporting and Crystal Reports.  
Sharon H.,,", Unspecified",2+ years,3,2,1,3,,0,GetApp,08/03/2018,,It allows me to invoice customers relatively easily and gives records that I can give to my accountant at tax time.,"Too many obstacles to customizing the program for my particular business.  For instance, changing the information I put on the invoice or on the outgoing email message in a global way is impossible.  Literally.  It's simply not allowed.  So changes must be made to each individual invoice and/or message.  Insane.  

Also, I don't do online anything with Intuit (long story).  My computer is standalone, it's not networked.  Yet I have to have a password to even open up the damn program.  Every. Single. Time."
Karen T.,Partners in Mission,"Philanthropy, 51-200 employees",2+ years,3,4,2,2,3,6,SoftwareAdvice,13/02/2018,"Would like to see this product be more versatile. I use it with Blackbaud products and have some difficulties with imports into QuickBooks. Sometimes all the information I need does not get pulled in. Otherwise, the product is usable.","It is fairly easy to use, if you are used to this form of accounting. The layout allows for ease in finding items. Search capability is good, if you type in exactly what you are looking for. Great to use for general ledgers, income and expenses. ","Does not interact well with some database programs and does not import and export some needed information. Also, keeping a record of information is difficult, unless it is number related."
Verified Reviewer,,"Information Technology and Services, 11-50 employees",2+ years,1,2,1,1,1,1,GetApp,16/01/2017,"Unstable/unreliable, slow, technical support is frustrating and relatively expensive. I would definitely consider other products first and we are doing just that as a company.",Reasonably good functionality,"Quickbooks Enterprise does not allow credit card processing in Canada
Platform is unstable and slow
Budgeting functionality lack the flexibility to do reports by account class 
Memorized reports frequently fail
Technical support is beyond frustrating and often support issues associated with the online viewing contrast with technical support of the software itself and often the two different departments disagree on the source of the issue 
duplicate invoice numbers are generated"
Rachel G.,Office Manger,"Medical Practice, 1-10 employees",2+ years,5,4,,5,5,9,Capterra,30/03/2021,,"Easy to use, multiple reports and customized reports available. Help center is full of ongoing training to learn new features and functionality. ","Nothing. Integration is easy, adding new accounts simple. Makes my job easier and allows for more time to focus on other tasks. Simple functionality that doesn't get bogged down."
patrick r.,Operations director,"Construction, 11-50 employees",2+ years,2,2,1,2,2,2,SoftwareAdvice,10/07/2020,"Disappointed, but not surprised ","The dash board, the emailing of invoices to customers 
Tha's about all ","the constant distraction  like to write this review, caused by the incessant pop-ups to  upsell you on additional features and products .  there is no way to stop the  constant notifications.  

Also the  constant changes that are of little functional value and are actually a nuisance to relearn"
JACKIE L.,OFFICE ADMINISTRATOR,"Oil & Energy, 201-500 employees",6-12 months,5,5,5,5,5,10,Capterra,11/12/2019,JOB COST TRACKING WAS MY BIGGEST ISSUE BEFORE THE PROJECTS WERE ADDED.,THE PROJECTS SECTION MAKES JOB COST TRACKING SO EASY.   I LIKE THAT I CAN UPLOAD JOB DOCUMENTS TO EACH TRANSACTION.,"I WOULD LIKE TO BE ABLE TO ADD MORE JOB DETAILS IN THE PROJECT SECTION.  WE HAVE MULTIPLE PROJECTS FOR EACH CUSTOMER.  EACH PROJECT HAS START-UP INFORMATION, SOMETIMES DIFFERENT THAN THE CUSTOMER INFORMATION.  I WOULD LIKE TO BE ABLE TO ENTER THIS.  IT WOULD BE NICE TO ASSIGN AN AFE/PO NUMBER TO A PROJECT AND IT ENTER AUTOMATICALLY TO THE INVOICE WHEN PROJECT TITLE IS ENTERED."
Dean P.,Accounting Manager,"Consumer Goods, 11-50 employees",1-2 years,4,4,3,4,4,7,Capterra,11/12/2019,Not really solving business issues but it is very helpful in the financial reporting and recordkeeping.,It's easy to use and reporting functionality.,"Customer support leaves a lot to be desired.  Also, it's budgeting options are almost non-existent."
Chris H.,Operations Specialist,"Printing, 11-50 employees",1-2 years,4,5,,4,,9,Capterra,11/12/2019,,I enjoy how I can access my company profile from anywhere. It allows me to send invoices and bills even when I'm not in the office. ,It seems that QBO lacks some of the form customization that we would like and we have some reliability issues.
Raymond Y.,Accounting Assistant ,"Non-Profit Organization Management, 51-200 employees",2+ years,5,5,4,5,5,9,Capterra,17/04/2019,QB Non Profit is just better than other Normal Version with featuring the some specially designed function that help non profits organization managing their finance more effectively. ," QB Non Profit has everything that you might expect any  QB products with its product category; However, QB Non Profit is just better than other Normal Version with featuring the some specially designed function that help non profits organization managing their finance more effectively. ","Customer Support, they try to sell you a newer version of Quick books rather than fixing the issues that you have on your current Quick Books"
Verified Reviewer,,"Philanthropy, 11-50 employees",2+ years,5,5,5,5,5,9,Capterra,14/06/2018,"We are able to use Quickbooks to carry out all of our financial functions and easily keep track of everything. I would definitely use it unless you need high volume programs and can afford software that integrates other functions (like donor tracking, record keeping, etc)","QuickBooks Non-Profit is an excellent choice for nonprofit accounting. IT is very easy to enter information, make adjustments and run reports. As a nonprofit, we are constantly generating that information for grants and donors - so it is very easy.","Managing donor data is easy to a point, if you have another donor database you might run into some difficulty trying to track contributions or donations. "
Barry S.,Bookkeeper,"Philanthropy, 11-50 employees",2+ years,5,4,4,5,5,9,SoftwareAdvice,19/02/2018,I don't like the lack of support after two years.  But the community of QuickBooks users is so large that help can be found almost anywhere.,"This program is customizable to the needs of each Nonprofit.  It can be used as a standalone program or a networked financial database.  It has all the necessary functions to do all daily, monthly, and yearly financial paperwork for a small to medium-sized Non-profit.",The learning curve can be steep.  Prior experience with the program or with accounting is very useful.  Set up should be done by a professional CPA to ensure it's tracking all the needed items for IRS reporting.
Jonathan T.,Office Manager,"Individual & Family Services, 501-1000 employees",2+ years,5,5,5,5,4,9,GetApp,21/12/2017,,I love the connectivity that QB has with other 3rd party applications that I use.  I love the ability to see my clients and their balances with ease.  I love the reports that you can build with QB.  I also love that you can have separate users with separate access to the application.,Sometimes installation is a bit of a challenge.  Setting up some of the features can be a hassle that requires contacting support and having them control my machine to fix the errors.  I don't like that there is a new version every year because I get comfortable with the version that I have then something changes.
William M.,Treasurer ,"Religious Institutions, 1-10 employees",2+ years,5,5,4,5,4,8,Capterra,11/07/2023,I enjoy using it because I'm tied to a desktop to perform my job. Being mobile is critical for me due to I'm not in a office daily.,Being able to fully reconcile bank accounts every month with ease.,If a bank account change its behind the scene operating software you loose access to all previous data before the new role of software.
Carolyn M.,Owner,"Construction, 1-10 employees",2+ years,4,3,,4,,8,Capterra,12/06/2023,,It's great software that's reliable. Desktop has more capability but for the average small business - especially if you need capability to access anywhere - it can't be beat,"some of the ""user friendly"" designs make it more difficult to use for anyone more familiar with the desktop version "
Charity W.,Office Manager,"Construction, 1-10 employees",2+ years,5,5,5,5,4,7,Capterra,19/03/2023,Overall my experience with QBO Advanced is a positive one.  They have always been able to get me thru any task that I needed assistance with.  ,One of the best things about QBO Advanced is how easy it is to use for even the beginner.  ,The added features bring the cost of the product up to where it could be unaffordable for some.  
Emilie S.,Office Admin,"Construction, 1-10 employees",2+ years,4,4,3,4,4,10,Capterra,21/02/2023,"Good, mostly have the Advanced version in order for bills, payments, customer details, etc. to be synced to our project management software. ",Easy to use. After a few webinars you can figure out how to use it. ,Doesn't track construction projects throughly enough (provide enough detail). Might be ok for  handyman type projects but not custom homes or renovations where you really want to know your numbers and have them broken down by stages. The project portion is not detailed enough. 
Jorge Q.,CEO,"Accounting, 1-10 employees",2+ years,2,2,2,2,2,0,Capterra,06/12/2022,HAte the customer service on hold for way to long to fix issues. ,better for bigger businesses but not as good as netsuite,it was to difficult for me to teach my client to use. 
Ade A.,Online Digital Marketer,"Information Technology and Services, 11-50 employees",1-2 years,5,5,,5,,10,Capterra,10/10/2022,It works fantastically for our clients' online payments as well as for invoicing and checking to see whether the customer has really opened the invoice.,"There are so many things to love about QuickBooks online advanced. It can be easily modified to meet any company needs with ad-ins.

On our monitor, we used to keep sticky notes that served as priorities reminders. But now, the Task Manager feature manages our tasks and priorities, making the use of sticky notes a thing of the past.

QOA can be easily integrated with other applications, and automations are flawless. 

Overall, it categorizes transactions efficiently and it also gives us awesome reports",Report generation took a longer time a few times but it could be the network. so it's not a big deal
Verified Reviewer,,"Fund-Raising, 1-10 employees",2+ years,4,4,1,4,4,6,GetApp,13/01/2022,"Overall I think Quickbooks is very helpful for multiple accounting operations. 
I just wish the customer service was friendlier and more helpful with the requests. ","QBO lets you access and work in your books from any location. You can connect your bank accounts, which is very helpful with tracking down the expenses.
","Some reports are hard to find and generate.
The most frustrating part is contacting the customer service - it's a long time to get connected to them and super hard to get any information out of them "
Tracy O.,President,"Education Management, 1-10 employees",2+ years,1,1,1,1,1,0,SoftwareAdvice,04/02/2020,Im stuck with this for now as a small business owner.  I made the error in switching from the desktop version and I cant convert my information back.  I look all the time for another company to come up with an answer-Im not sure why it hasnt happened yet.,That I can access it anywhere....that is the ONLY pro of this software,"customer service-they have none.  On the rare occasion I can get someone on the phone they act as if they just started working with the company-no answers.  They mostly want you to use other users to answer your questions.  Lots of glitches, lots of bugs you name it-its bad."
Kelly D.,Youtuber,"Internet, Self-employed",2+ years,5,5,5,5,5,7,Capterra,03/02/2020,,My parents used quick books and had it installed on desktop computer for years and business customers for the waffle business were stored in quick books software.Quickbooks was a good tool to keep track of customer payments such as how much they owed or how much they paid for waffle products.My mom got locked out of quickbooks and had to call Rodney to help her get back in.,My mother got locked out of quickbooks and had to call a computer technician Mr. Rodney to help her get back into the program and it cost money.
Samantha M.,Office Manager,"Newspapers, 11-50 employees",6-12 months,5,5,5,5,5,10,Capterra,11/12/2019,,"This software is SO easy to use and navigate. It helps keep things in order, and lets me know when bills are due and when to pay them in case I forget. It has greatly organized our accounts payable/receivable accounts into one solid location where we can view everything we need on one screen.","Nothing so far, everything has been great with this software."
Tom H.,COO,"Construction, 1-10 employees",6-12 months,5,5,3,5,5,9,Capterra,11/12/2019,Have solid financial reports and management ability,"Super easy to use, great reports, love it!",Wish there was progressive invoicing. Start with Sales order and not recognize the revenue until the sales order is turned into an invoice. Have prepayments against the order.
ISA S.,Staff Accountant,"Accounting, 51-200 employees",1-2 years,5,4,4,4,4,10,Capterra,11/12/2019,,Easy to use and there are tutorials available. Importing data from QBE and adding bank accounts were a breeze. ,Unable to delete multiple entries and cannot undo reconciliation. 
Helena B.,manager,"Design, 1-10 employees",2+ years,5,5,5,5,5,10,Capterra,11/12/2019,,"First of all , I purchased the product without knowing how to use it. I used the help desk  and was able to have it up and running in less than a week.
I can keep track of all my customers - easy to do partial billing from an estimate.
The class feature is essential for my company as I can generate profit reports for each of my projects.
I recently linked Timesheets with QB so I can integrate the amount of hours each of my installers work in each project",I do not dislike anything about this software
KORBIN D.,Finance Assistant,"Non-Profit Organization Management, 1-10 employees",2+ years,5,5,,5,,10,Capterra,22/11/2019,I love the product.  They are always improving and updating the software.  The improvements only take moments to upload and they always offer quick tutorials on any changes.  I love it!,I love the ease of use.  We use this software for our non-profit and have found it to be an accurate way to record all of our financial transactions and support our info with really great reports.,"I really would have to knit pick in order find something which i do not like about Quickbooks Non-profit. I had my own insecurities about using it when i started, but QB made it easy to learn."
Kimber J.,Office Manager,"Accounting, 51-200 employees",2+ years,5,5,5,5,,10,Capterra,17/07/2019,,"It is very user friendly. All the books for our clients are in the same place.
",Sometimes the autofill can mess you up. It can be turned off but is usually helpful.
Gilles D.,Founder & Growth Strategist,"Marketing and Advertising, Self-employed",6-12 months,3,3,,4,3,6,GetApp,22/02/2019,"I have used Quickbooks for a couple of months when starting my own business (most notable name out there for accounting software for software businesses), but disappointing UX experiences have made me look for better alternatives in terms of quality and price. I haven't looked back since. Quickbooks is by no means bad software, but as a paying user I feel they get more value out of you than you get out of the product given the alternatives available.","Quickbooks has all the functionalities you need in accounting software, it's compatible with multiple systems, has a decent design and styling and makes it easy to collaborate with accountants.","The company behind Quickbooks takes a marketing-first approach, which probably works well for them in terms of revenue but I feel leaves the product worse of than it could be. What this means in practice is that you'll be hit with offers, discounts and deals at every step of the way trying to get you to pay or pay more, while at the same time it's often difficult to find the functionality you need within the UX. The UI is needlessly complex, making it hard at times to derive maximum value out of the product. There's this lingering feeling that Quickbooks can do everything but at the same time you can never really get it to do things you want or the way you want."
Kellianne M.,Financial Manager,"Religious Institutions, 11-50 employees",2+ years,4,3,3,3,4,7,Capterra,11/06/2018,ease of use and most reporting.,"Reporting is mostly good, easy entries solving the double entry accounting needed in a single entry; vendor set up is easy;customer invoicing is streamlined; bill paying is clear","This software will not perform detailed reports for donor tracking; cannot compare actual to budgeted costs at a single point in time for actuals, that is, cannot run a report to show actuals to date versus an annual budget which is the most frustrating thing about quickbooks, reporting has to be to a month or a year compared to the same period."
Daniel S.,,"Health, Wellness and Fitness, 1-10 employees",2+ years,5,5,5,5,5,10,GetApp,30/04/2018,,"What isn't to like?  No matter if someone is a seasoned accountant, or a person new to accounting just starting their business, Quickbooks is very intuitive.  Yes there are competitors, even free ones, but they do not compare to the functionality offered in this program.  Best program and most intuitive accounting program I've ever used, hands down.","The only thing that I'm not fond of is the high cost of the online version as each separate company requires a different subscription which can get expensive.  With that said, however, it is a fantastic program."
Meghan S.,CPA,"Accounting, 1-10 employees",2+ years,4,4,3,3,3,5,Capterra,21/06/2023,"I truly enjoy a cloud environment and the ease of some things in QuickBooks Online Advanced, but I have found my clients that need more features are better off finding a remote server to cloud host QuickBooks Desktop as the features in Advanced are lacking and clients are able to much more easily mess up their data in QBO. ",I enjoy that it is cloud hosted and can be accessed from anywhere,"It is VERY easy for clients to get their files messed up within QuickBooks Online Advanced. Without proper set up help, it can be a mess to come behind and try to help clients. "
Lela W.,Paralegal,"Law Practice, 1-10 employees",2+ years,5,5,5,5,5,10,Capterra,23/05/2023,"Fantastic, this was a program I was intimated by at first but now I absolutely love it! User friendly and a great program.",I absolutely love Quickbooks because of the ease of use for new people learning it. It's terrific!,There's nothing that we use for our law firm that I dislike about Quickbooks.
Mohamed S.,Owner/Partner,"Automotive, 1-10 employees",6-12 months,5,5,5,4,,10,Capterra,21/05/2023,It has been a great help to our small company. Relatively cheap option . ,We started using quickbooks after a long search for a bookkeeper and it has definitely helped us keeping the books tidy. We were able to share with a bookkeeper and tracking expenses is very easy.,Sometimes creating expenses categories is confusing. We have been using quickbooks online and sometimes it is confusing to navigate. If there was a tab to see recent transection without going through a lot of steps will be helpful
Claudia Yanneth G.,Investigador,"Market Research, Self-employed",1-2 years,4,4,3,5,5,10,Capterra,11/03/2023,"Es compatible con todo tipo de celulares y computadoras, facilitando el acceso y uso de los usuarios.","La relación costo-beneficio es excelente, por un muy bajo desembolso se obtiene un paquete que te permite administrar clientes, proveedores, inventario y finanzas.","Es muy útil para empresas pequeñas y medianas, las grandes están por fuera de su alcance."
Rick Z.,Owner,"Legal Services, Self-employed",2+ years,5,4,,5,3,6,Capterra,09/08/2022,It has been a useful tool for several years for me. The integration with banking saves me a lot of time for end of the year. ,Software is fairly easy to use and understand. It's extremely scalable so I can increase or decrease my use as needed,"The integration with my bank account is fairly stable, however, transaction descriptions  that are downloaded into QB are often truncated and very difficult to figure out what they are for without having to do further research. "
Manelisi H.,Administrative Assistant ,"Security and Investigations, 51-200 employees",2+ years,3,3,3,3,3,7,Capterra,30/07/2022,"My overall experience has been great. I have been using this software for more than two years. However, I had to invest time for me to fully understand it and know how to use the software.","I love that this software easily links your bank accounts. Categorizing and tracking expenses, invoices, and customer history is very simple and easy.",It takes time for you to understand the software to be able to use it confidently and effectively. It may be a bit overpriced for start up businesses or small businesses.
Alyssa R.,Producer,"Photography, 1-10 employees",2+ years,5,5,,5,,8,Capterra,16/05/2022,,Quickbooks is the quickest and most straightforward accounting program out there. I can create and send invoices and bills within minutes. The app is incredibly intuitive and takes almost no time to learn. I can keep track of the amount of money coming in and going out of the company and have a snapshot of all our finances on the main dashboard. It is simple to see what's overdue that needs following up on. ,Sometimes it can be a bit slow to load pages. 
Connie E.,Bookkeeper,"Construction, 11-50 employees",6-12 months,5,5,5,4,5,10,Capterra,11/12/2019,This is a great product and we love using it. Will be waiting on scheduling and dispatching to be added as well. ,"easy to use, streamline invoicing in the field, great tools to learn how to's...",Doesn't work well with Service Fusion for our inventory need and dispatching.
Marquetta W.,Revenue Clerk,"Government Administration, 51-200 employees",6-12 months,5,5,5,4,4,10,Capterra,11/12/2019,,This software if very easy to use. Saves a lot of time on book keeping and paper work. All the information is in one system.,I do not like that you can change information at a later date. Once things have been reconciled no change should be made.
Daniel J.,President,"Construction, 1-10 employees",2+ years,5,4,5,5,5,9,Capterra,11/12/2019,I like trhe staff and the added features which have allowed me to better understand our business finances,"This software is easy to set up and use, make changes to and explore the financials of your business",One issue I wish could be performed is to go back manually and look at past received payments. This was a function on desktop version which was lost in on-line. In desktop I could just hit previous and look through them to see what was received on certain days
Verified Reviewer,,"Accounting, 51-200 employees",2+ years,5,5,,4,,9,Capterra,02/05/2019,,This software is user friendly and very easy to use.,I can't think of anything that I don't like about Quickbooks.
