Name,Role,Business Size,Validated,Source,Rating,Date,Title,What do you like best about Sage Intacct?,What do you dislike about Sage Intacct?,What problems is Sage Intacct solving and how is that benefiting you?
Arthur D.,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.5,2023-05-01,"""Good program""",This is so much better than Quickbookss. Review collected by and hosted on G2.com.,Everything opens in a new window. I don't like that. Review collected by and hosted on G2.com.,Multi company and better reporting for all agency stuff Review collected by and hosted on G2.com.
Lindsey A.,Bsc(hon) Electrical Engineering| Software Developer intern|; Information Technology and Services,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.5,2022-11-10,""""" Executive Cloud ERP System  """"","- Efficiency and accuracy ERP and ROI automations.
- Accounting tasks slice and dice.
- Maximum Integrations with other softwares.
- Multi-device online tool.
- Online invoicing, payroll creation.
- Online bank statements reconciliation.
- Privacy when you shop online.
- Cash-flow and incurred expenses management.
- Pleasant and beautiful UI and UXD Review collected by and hosted on G2.com.",Nothing to regret since it meets all under one umbrella. Review collected by and hosted on G2.com.,"Incredible and reliable ERP management system.
Saves time close to80% Review collected by and hosted on G2.com."
,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.5,2023-04-18,"""Fluid website construction and navigation.""",How straightforward everything is and that the site makes sense when navigating between sections. Review collected by and hosted on G2.com.,Can be overwhelming and complicated for new users. Review collected by and hosted on G2.com.,Accounts payable record keeping and proper scheduling for payments. Review collected by and hosted on G2.com.
,,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,5.0,2023-04-24,"""Best Accounting Software I've Ever Used""","I have found Sage Intacct to be very user friendly and flexible. The reporting capabilities, accuracy, and transparency are great. It is the best, hands down! Review collected by and hosted on G2.com.","I really haven't found many downsides to Intacct. For my application, as it comes through a 3rd party, getting support is at times challenging. Review collected by and hosted on G2.com.","Sage Intacct makes accounting, AP, reconciliation work, and all things related very simple and easy. Review collected by and hosted on G2.com."
,,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,0.0,2023-04-13,"""Software is just ok.""",The sage support team has been very helpful and responsive to our needs. Review collected by and hosted on G2.com.,Doing a single task takes multiple steps in a highly time-consuming fashion. It is not a very streamlined experience. Review collected by and hosted on G2.com.,None Review collected by and hosted on G2.com.
,,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,4.0,2023-04-24,"""Works great""",Sage Intacct is straightforward and easy to use Review collected by and hosted on G2.com.,"Nothing negative comes to mind, other than maybe the appearance of the site Review collected by and hosted on G2.com.",It helps our company track expenses Review collected by and hosted on G2.com.
,,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,5.0,2023-04-20,"""Very simple and Efficient""",The most helpful thing about Sage Intacct is the traceability Review collected by and hosted on G2.com.,The least helpful thing about Sage intacct is the inefficient search engine Review collected by and hosted on G2.com.,Keeping inventory and keeping track of orders Review collected by and hosted on G2.com.
,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,2.0,2023-05-02,"""Average enterprise accounting solution""",It seems to have most features that are required Review collected by and hosted on G2.com.,"It's not very intuitive, modern, or user-friendly. Review collected by and hosted on G2.com.",It's allowing me to approve purchase orders Review collected by and hosted on G2.com.
Kelsey B.,Accounting Manager,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,5.0,2022-09-01,"""Sage Intacct is fantastic!""",Sage Intacct is a robust software that has the ability to take care of many needs for a month-end close process. The customization of their report center makes it great to build out reports to your specific financial reviewing needs. Review collected by and hosted on G2.com.,"There is very little I dislike about Intacct. If there is something I am struggling with, I am able to find a resolution through their helpful tools and online communities. Review collected by and hosted on G2.com.",Sage Intacct's cash reconciliations make simple cash reconciliations easier and all saved in one place. The duplicate function for various tasks like journal entries makes it easier to record many items and reduces human error. Review collected by and hosted on G2.com.
,,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,3.5,2023-05-02,"""Great product for our needs""",This is a comprehensive and very useful product that we have implemented and now use every day. It is a powerful tool capable of fitting all of our needs as an investment bank. Review collected by and hosted on G2.com.,"The user interface is often tricky, and the program seems to be very difficult to train new staff on. Review collected by and hosted on G2.com.",Accounting functionality that is out of this world! Review collected by and hosted on G2.com.
,,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,5.0,2023-04-25,"""Easy to learn and easy to use.""",The cleanness of the design is definitely my favorite element of Sage Intacct Review collected by and hosted on G2.com.,"The reports can be hard to use at times. Compared to the easy usability of the rest of the software, I find reports to be a little less so. Review collected by and hosted on G2.com.",Sage Intacct helps a lot with keeping track of expenses with their credit card management as well as general account payable. Review collected by and hosted on G2.com.
,,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,4.5,2023-06-15,"""Account Receivable Clerk""",Easy to Understand and the program is simple to work. Review collected by and hosted on G2.com.,You can not save your posting payments if you need to go to the bathroom or break; if you can make it to ware save without posting. Review collected by and hosted on G2.com.,N/A Review collected by and hosted on G2.com.
,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.0,2023-04-19,"""Financial Organization of the Finest Quality""",The ability of sage to pull out reports based on projects is second to none. It made my ability to work with our finance team 100x better. Review collected by and hosted on G2.com.,My only complaint would be that sometimes the login doesn't allow a password reset to be sent to the user if they aren't the top level admin. Review collected by and hosted on G2.com.,It allows us a full track on project spending and invoice management. Review collected by and hosted on G2.com.
,,"Enterprise
(&gt; 1000 emp.)",Yes,Sage Intacct,5.0,2023-06-23,"""Amazing experience using sage""",This system has been great in tracking project deliverable among team and the cost. Review collected by and hosted on G2.com.,The Logo and the name of the company should not be replicated side by side. Review collected by and hosted on G2.com.,Resource management and Time tracking Review collected by and hosted on G2.com.
,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,3.5,2023-05-03,"""Review of Intacct""",The community is the most helpful aspect of Sage Intacct. Review collected by and hosted on G2.com.,The sales pitches and the increase in annual pricing. Review collected by and hosted on G2.com.,Intercompany Transactions Review collected by and hosted on G2.com.
,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,5.0,2023-05-04,"""Efficient and easy to navigate.""",Sage works well with our external invoicing system. Sage is helpful because there are many reporting options and avenues for customization. Review collected by and hosted on G2.com.,"It would be nice to have a feature that allows for mass prints of invoices, whether selecting them individually or by vendor, etc. Review collected by and hosted on G2.com.","Sage allows us to organize the money and invoices efficiently, allowing for smooth business. Review collected by and hosted on G2.com."
,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,3.5,2023-04-06,"""Sage is good but lacking some futures""",It is easy to use and sending out invoices is a breeze. Review collected by and hosted on G2.com.,Opening up multiple tabs is difficult and can sometimes make drilling in to numbers complicated. Review collected by and hosted on G2.com.,It solved our revenue and billing issues Review collected by and hosted on G2.com.
,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.5,2023-05-05,"""Sage review""",I like that it is user friendly as someone who has never used Sage intaact before. I also like that there are resources and classes you can take within Sage. Review collected by and hosted on G2.com.,There is nothing that I can think of at the moment as I mostly use it for AP. Review collected by and hosted on G2.com.,Nothing that I can think of at the moment. Review collected by and hosted on G2.com.
,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,3.5,2022-11-30,"""Intacct in Healthcare""","Sage really helps keep all accounts payable aspects in order in an easy, and manageable, user friendly way. I love how banking is so easy as well with the bank recs. Review collected by and hosted on G2.com.","I don't like that you have to resign in after a short amount of time, during my workday i have to sign in a few times and restart all the entities. If it can be longer, that would be great. Review collected by and hosted on G2.com.",Sage is solving having invoices missing or duplicated because it doesn't allow for duplicate invoices to be imported from other programs. Helps for accurate bookeeping. Review collected by and hosted on G2.com.
,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.0,2023-04-11,"""Senior Accountant""",Reporting. Intacct reporting are user friendly and you can customize them how you want Review collected by and hosted on G2.com.,"Reconciliation. Intacct reconciliation process can be confusing as the ""matched"" items still visible for human error. Review collected by and hosted on G2.com.",Streamlining Review collected by and hosted on G2.com.
Yesenia M.,Finance Associate,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,5.0,2023-04-13,"""Efficient System with great trainings and capacity""",it retains files and has needed dimensions Review collected by and hosted on G2.com.,"nothing, thus far it is the best accounting system I've used for NPOs Review collected by and hosted on G2.com.","files retention, cost center creations and expense and budget tracking Review collected by and hosted on G2.com."
,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,5.0,2023-04-21,"""Experience has been great and helpful with our accounting procedures""",Creating and running reports for analysis. Review collected by and hosted on G2.com.,Building dashboards for analysis isn't as user-friendly. Review collected by and hosted on G2.com.,Intacct is helping us solve accounting for a Software as a Service company. Review collected by and hosted on G2.com.
,,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,5.0,2023-04-14,"""First time user""",I like the point and click part of intacct. Everything is very detailed and easy to navigate. Review collected by and hosted on G2.com.,"I dislike how some items are not able to be deleted, but instead you have to reverse them which clutters the General ledger. I think if there is a small mistake you should be able to delete. Review collected by and hosted on G2.com.",Sage Intacct is helping the company put together financial statements to the board. Review collected by and hosted on G2.com.
,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,3.5,2023-04-21,"""Accounts Payable""",Easy to learn and navigate and multiple learning opportunities Review collected by and hosted on G2.com.,Can not open multiple dashboards - Have to open Sage all together Review collected by and hosted on G2.com.,Easy to track previous payments Review collected by and hosted on G2.com.
Tom L.,,"Enterprise
(&gt; 1000 emp.)",Yes,Sage Intacct,5.0,2023-04-10,"""It is very user friendly""",It is easy to review general ledger detail and trace entries Review collected by and hosted on G2.com.,Sometimes reports take a while to load. This can slow down work. Review collected by and hosted on G2.com.,We use it for our general ledger software. Review collected by and hosted on G2.com.
,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.5,2023-05-10,"""Divvy has been great with transmitting accounts payable from Bill.com.""",Menu is user friendly. Enterng Accounts payale . Review collected by and hosted on G2.com.,Reporting and searching plus filtering is not. Review collected by and hosted on G2.com.,N/A Review collected by and hosted on G2.com.
,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,5.0,2023-06-16,"""Excellent""","User-friendly and easy to navigate, and easy to figure out. Review collected by and hosted on G2.com.",Sometimes the reports are prolonged to download. Review collected by and hosted on G2.com.,"Bank reconciliations were made easier, and an audit trail to see who posted what and modified what entries. Review collected by and hosted on G2.com."
,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.5,2023-05-16,"""Reporting experts""","Reporting, I find this the most helpful thing that intacct offers. Review collected by and hosted on G2.com.",I believe that one thing that intacct could do better is have a more modern UI. Review collected by and hosted on G2.com.,"Again, reporting it something that I belive that intacct and really done well with. I also have found the intacct classes especially helpful. Review collected by and hosted on G2.com."
,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.0,2023-04-11,"""Not editable enough""",Reporting capabilities. Syncs well with other software like Bullhorn and Beanworks. Review collected by and hosted on G2.com.,"How everything is cemented forever. Not as user-friendly as Quickbooks. Not intuitive, Review collected by and hosted on G2.com.",Providing us with better record keeping. Review collected by and hosted on G2.com.
,,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,4.5,2023-04-11,"""It was confusing in the beginning, but it is easy to navigate through.""",I like how you can reverse/delete invoices rather than having to create a credit to correct the invoice. Being able to import a large number of invoices is also helpful. Review collected by and hosted on G2.com.,"The least helpful thing about Intacct is not so much in Intacct, but how we were trained to use it through your company. Review collected by and hosted on G2.com.",It has helped us reduce time by entering our invoices and check runs. Review collected by and hosted on G2.com.
connie  l.,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,3.0,2023-04-07,"""Experience""",It is very user-friendly; straightforward to find checks to see if they have been processed or not Review collected by and hosted on G2.com.,"nothing wrong to say about it, it works great Review collected by and hosted on G2.com.",better serving our Landlords Review collected by and hosted on G2.com.
Andrew V.,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,5.0,2023-04-27,"""Great Experience""",I enjoy how smooth booking transactions are. Review collected by and hosted on G2.com.,"Nothing, everything is great. No complaints. Review collected by and hosted on G2.com.",It's helping with bookkeeping and journal entries. Review collected by and hosted on G2.com.
chris b.,,"Enterprise
(&gt; 1000 emp.)",Yes,Sage Intacct,4.5,2023-04-07,"""CFO""",Easy to use and intuitive. Good support adn support portal Review collected by and hosted on G2.com.,"Not gui enough, no drag and drop features. Financial reporting a touch clunky Review collected by and hosted on G2.com.",Cost Accounting and reporting out by projects Review collected by and hosted on G2.com.
,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.0,2023-04-17,"""Finance Consultant""",Shared environment. Love that it automatically consolidates. Review collected by and hosted on G2.com.,I don't like that you can't look within nominals by location/dept like you can in sage 200 Review collected by and hosted on G2.com.,Reporting Review collected by and hosted on G2.com.
,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.5,2023-04-24,"""Finance Manager Review""",I find Sage Intacct to be extremely user friendly. I had no experience with the product prior to my current position and I was able to learn the basics within a few days. Review collected by and hosted on G2.com.,I haven't found enough free tutorials of the product. Most of the tutorials I found were through YouTube. Review collected by and hosted on G2.com.,For making journal entries and developing financial statements. Review collected by and hosted on G2.com.
Siphehesihle M.,Senior Software Engineer,"Enterprise
(&gt; 1000 emp.)",Yes,Sage Intacct,4.5,2022-10-10,""""" Exceptional and Exclusive Online Accounting Enterprise IT Product.""""","It increases our RIO as well as providing us with the only solution for AICPA for online accounting and financial management services.
Automatically download bank statements and reconcile.
Cloud bookkeeping.
Saves time up to 79%.
Calculations of VAT tax returns.
Online proofing and order management.
It is our reliable real-time financial reporting system. Review collected by and hosted on G2.com.",Nothing to dislike at all it has impressess us. Review collected by and hosted on G2.com.,It is a simple online application tailored for all online accounting and financial management services under single room. Review collected by and hosted on G2.com.
Lennie R.,Financial Officer,"Enterprise
(&gt; 1000 emp.)",Yes,Sage Intacct,5.0,2023-02-15,"""Robust when exporting data into Excel""","It's very easy to manage expenses and other reports.
Very easy and convenient when billing schedules especially when using contract module.
It's indeed helpful when you want to generate financial analysis. Review collected by and hosted on G2.com.",Haven't experienced any difficulties so far. Review collected by and hosted on G2.com.,"Manage expenses
Generating financial reports
Very easy to use with good integration abilities with other systems Review collected by and hosted on G2.com."
David A.,COO,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,0.0,2022-12-14,"""Complicated,charges for support including issues from new releases very slow to get answers back""",History and audit trail to see who did what and the ability to limit access Review collected by and hosted on G2.com.,"Limit transactions from warehouse, slow responses, charged for support from reseler for a cloud based solution. Top and Bottom cause issues, can't delete Review collected by and hosted on G2.com.",It is creating more than it is solving Review collected by and hosted on G2.com.
,,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,5.0,2023-04-14,"""Best cloud ERP for SMBs and nonprofits""",Vast network of 3rd party integrations: everything from AP automation to FP&amp;A tools. Review collected by and hosted on G2.com.,The report writer could definitely be more user friendly. Review collected by and hosted on G2.com.,Cloud-based accounting Review collected by and hosted on G2.com.
,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.0,2023-05-05,"""Powerful and Always Useful""",I use it for invoice tracking and reconciliation and always works the way I need it to. Never buggy and always consistent. Review collected by and hosted on G2.com.,I wish that the UI was a bit more intuitive but it works for what I need it for. Review collected by and hosted on G2.com.,Use it to track open invoices and reconcile monthly billing. Review collected by and hosted on G2.com.
Adrianna J.,Senior Corporate Accountant,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,4.5,2022-05-16,"""Innovative Accounting System with Consistent Updates""",One of the best things about the system is that it is cloud based so there is no need to house any servers on site or worry about CPU usage for a desktop program. It's also great that the company directly releases quarterly updates/features to the system that do not need to be (1) additionally paid for or (2) take time to download/take up precious work day time to implement. Review collected by and hosted on G2.com.,"There are a few basic rules that the system does not adhere to that seem backwards in thinking - mainly the fact that once a payment has been cleared/cashed on a bank reconciliation, it can be voided in the system. This can lead to an internal nightmare if someone is not paying attention and voids a check/ACH payment that has been paid out already (as the invoice will be reopened for payment and can lead to duplicate payments). Review collected by and hosted on G2.com.","We used to use Sage 300 which was an antiquated system in 2021 and was not very innovative to our company at that point. When we finally made the switch to a newer, more sophisticated product, Sage Intacct was one of the top choices our upper management had. We've solved a lot of problems and realized a lot of benefits regarding financial reporting and just the fact that there is no real need for a consolidated overnight process as everything can be reported on/exported in a GL report in Intacct as soon as AP posts an invoice or makes a payment or someone posts a journal entry. Review collected by and hosted on G2.com."
Josh B.,,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,5.0,2023-04-21,"""Sage Intacct""",The ability to consolidate your Chart of Accounts Review collected by and hosted on G2.com.,Prepaids and Fixed Assets Module look outdated Review collected by and hosted on G2.com.,It is solving client's problems. Review collected by and hosted on G2.com.
,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,5.0,2023-04-25,"""Simple interface. Best Accounting Portal.""","Simple interface, best accounting portal. Review collected by and hosted on G2.com.","When something changes, that is not bad actually. Review collected by and hosted on G2.com.",Automation of the workload. Review collected by and hosted on G2.com.
,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.0,2023-04-27,"""Intacct Thoughts""",The ability to leverage the database to create and modify custom reports. Review collected by and hosted on G2.com.,"It can take very long for certain report packages to run, meaning it slows me down at times. Review collected by and hosted on G2.com.",We use Intacct to record all journal entries and run a lot of important reports out of it for deliverables for our clients. Review collected by and hosted on G2.com.
Alicia S.,Corporate Controller,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,5.0,2023-01-05,"""I've used the system for over 12 years, I'm a huge fan.""","The ability to customize fields, dimensions, reports, etc. Review collected by and hosted on G2.com.",Overall I'm a big fan. There is always room for improvement. I would like to see improvements in the inter-entity receivables and amortization module. Review collected by and hosted on G2.com.,"We are growing. I've added 25 entities to our system in the last month. Adding a new entity, setting up bank accounts, etc. is very easy. Review collected by and hosted on G2.com."
,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,3.5,2023-05-15,"""This accounting system works well with invoice approval software and Procore.""",I find the transaction reporting very useful along with the job cost report with commitment variance. Review collected by and hosted on G2.com.,Some of theinformation fields do not seem to be in line with construction accounting. Updated naming for some fields would be nice. Review collected by and hosted on G2.com.,Every day management of costs Review collected by and hosted on G2.com.
,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,1.5,2023-04-20,"""Product works fine, company's conduct can use an improvement""",Financial reports are straight forward and customizable. Simple built in rev rec for contracts and projects Review collected by and hosted on G2.com.,We were not contacted early for our renewal and within days of our license expiring we were advised the annual cost was 4x the price without any addition / changes to the product. Review collected by and hosted on G2.com.,Ease of managing interco and consolidation. Review collected by and hosted on G2.com.
,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,3.5,2023-04-10,"""Sage Intacct from a long time NetSuite user""",I like the ability to search the GL by vendor/customer/account. This feature is much easier than NetSuite Saved Searches. Review collected by and hosted on G2.com.,I wish there were a better dashboard and ability to reference your saved reports quickly. Review collected by and hosted on G2.com.,Sage Intacct is helping us manage our multiple international subsidiaries at a lower cost than other ERPs. The reporting and user interface is easy to navigate. Review collected by and hosted on G2.com.
,,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,4.5,2023-05-16,"""Robust reporting and great integration with Stampli""",The reporting and custom reports are awesome. Review collected by and hosted on G2.com.,You can modify a gl account in an invoice that is paid by EFT. You have to void the EFT to do this. Review collected by and hosted on G2.com.,We have over 120 companies and it has streamlined the intercompany process. Review collected by and hosted on G2.com.
Niteen C.,Accountant,"Enterprise
(&gt; 1000 emp.)",Yes,Sage Intacct,4.0,2022-06-08,"""User friendly accounting tool for multi entity environment""",Simple interface with help section on every module and page in Intacct. The on-demand course helps users train and perform their duties effectively and faster. Support by the company is also good. Review collected by and hosted on G2.com.,The updates cause some of the predefined or custom reports off of the list in Intacct and we have to reach out to Intacct for resolution every time. This makes our work difficult to perform. All the courses by Sage Intacct should be available to users for better usage of the tool. Review collected by and hosted on G2.com.,"We are using Sage Intacct for Accounts payable, receivable, cash management and time &amp; expense management modules. We use open-air Yay Pay and blackline software to make it a full P2P package. We are implementing BeTreel smart EFT for payments solution as an automation strategy to reduce manual tasks. Review collected by and hosted on G2.com."
Roselyn  W.,Account Manager; Hospitality,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,5.0,2022-10-14,"""'''Outstanding/Superb account management solution.'''""",Sage Intacct is an excellent platform which is user friendly and very easy to navigate.It has a simple interface and it is customizable to suit your needs.The customer support from the company is also great and helpful.Sage Intacct has really helped out our company in quickening our accounting processes. Review collected by and hosted on G2.com.,This platform is wonderful and our experience has been great so far and every company should use it. We have nothing to dislike about the platform Review collected by and hosted on G2.com.,Sage Intacct has allows us to organise our inventory easily. It has also helped us in expenses and cash management. It is easy to settle payments and this helps in saving time. Review collected by and hosted on G2.com.
,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.0,2023-05-16,"""VERY GOOD EXPERIENCE""",The multi currency aspects and ability to use Inacct internationally suits our work very well Review collected by and hosted on G2.com.,Unlike my previous sage product experiences (ie. Sage Accounts) it would be useful to be able to search audit trail transactions. Review collected by and hosted on G2.com.,multi currency accounting Review collected by and hosted on G2.com.
alex p.,INSULATION MANAGER,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,5.0,2022-11-08,"""VERY EASY""",I LOVE HOW EASY IT IS TO USE AND ALL THE FEATURES AVAILABLE IN ONE PLACE Review collected by and hosted on G2.com.,IT IS VERY PICKY IF YOU DONT DO PURCHASE ORDERS EXACTLY THE WAY IT WANTS IT DENIES YOUR REQUEST Review collected by and hosted on G2.com.,BY USING SAGE WE ARE ABLE TO TO SEE MORE INFORMATION AND MAKE CHANGES ADD AND OR CREATE ORDER ON THE RUN Review collected by and hosted on G2.com.
,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,3.5,2023-04-10,"""Sage Intacct is user-friendly and the customer service team is awesome!""","The Help &amp; Support tab is a beneficial tool! I take advantage of the Help &amp; Support almost every day, which always provides the answer I need! Review collected by and hosted on G2.com.",Sage Intacct isn't user-friendly when it comes to making adjustments/revisions. Review collected by and hosted on G2.com.,Sage has helped to automate daily tasks and helps reduce the need for manual entries with it's import tool. Review collected by and hosted on G2.com.
Kelvin O.,System Engineer; Retail,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,5.0,2022-10-03,"""Excellent, outstanding, robust and ever-evolving software for accounting needs.""","Sage Intacct is an excellent and ever-evolving software for accounting needs with new features added now and then. The implementation process was quite easy and straightforward thus saving time. Sage Intacct is very intuitive, easy to learn and use. Since i started using this great application i don't think i have ever encountered any downtime. Review collected by and hosted on G2.com.","I think the banking integration would be a little easier to save time. Overall, it is an incredible tool for accounting and financial management. Review collected by and hosted on G2.com.",Sage Intacct is an user-friendly and excellent accounting system. I like how it is seamless to detect and eradicate discrepancies on invoice. Availability of customer support team is an added advantage. Review collected by and hosted on G2.com.
,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,3.5,2022-07-12,"""Sage Intacct def has Improvement from Sage300 but some things are clunky if not worse""","AR Officer - Being able to track emails, and duplicate invoices easily, the reports are better on screen. Entry of other receipts is easy and useful. Being able to edit invoices after posting is super useful. Having our managers being able to track their own invoices and if something has been missed is great and this wasn't available in our old system. (of course getting them to manage this themselves is a whole other problem) Review collected by and hosted on G2.com.","I find the real estate of Sage is wasteful. I barely fit it on my screen, and whereas I used to have Sage300 multiple screens (bank entry/view inv etc) plus my bank entry screen I can only fit one sage entry screen and a reduced size bank rec which I enter off. Its been a very frustrating experience. I also find some of the report options confusing. Not being able to export what I see on screen in the format it shows me is also frustrating. Why can't I email credits? So bizarre that I have to print and manually send. Its like I'm back in the 2000s. Even Sage300 let me email credits! Review collected by and hosted on G2.com.",The New Dunning letters are good. Although I find I have to override the letter types as we only do this once a month they have fallen into a different category once I go to do these so its unlikely the reporting will be 100% correct. Being able to show I have sent an invoice /or dunning letter is useful. Review collected by and hosted on G2.com.
,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,5.0,2023-04-17,"""Sage Intacct is relatively user friendly and has a lot of tools""",Reporting function is easy to use. It is easy to find certain items. Review collected by and hosted on G2.com.,"I hate when I try to click into something and I get ""duplicate attempt in wizard"". Review collected by and hosted on G2.com.",We run our entire business through Intacct. It allows us to use reporting straight out of Intacct into our financial packages Review collected by and hosted on G2.com.
,,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,4.0,2023-04-17,"""Easy to Use""",I like how how customizable the reporting is to meet our needs. Review collected by and hosted on G2.com.,Running large consolidated reports takes a long time to export to excel. Review collected by and hosted on G2.com.,It helps us house all the accounting for our dozens of entities in one place and you can easily switch back and forth between them. Review collected by and hosted on G2.com.
,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,5.0,2023-04-10,"""User friendly, easy to navigate""",Easy to navigate through the different screens. Being able to upload CSV files helps a ton especially when doing things like bank deposits and credit card transactions Review collected by and hosted on G2.com.,The transfer over from Quickbooks has been tough as we are still waiting on a few items to convert over Review collected by and hosted on G2.com.,Book keeping is easier now Review collected by and hosted on G2.com.
,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.0,2023-03-28,"""Not difficult to get the hang of, especially with the classes available""",The versitility of the software allows its use in many different industries Review collected by and hosted on G2.com.,I am yet to figure out when the Recurring Journal Entries post. Sometimes they are posted same day sometimes they don't post at all. Review collected by and hosted on G2.com.,"Corporate Consolidation structures were a challenge to setup, but once they were set up, they are easy to onboard and work with. Review collected by and hosted on G2.com."
,,"Small-Business
(50 or fewer emp.)",Yes,Sage Intacct,4.5,2023-05-03,"""Easy to use!""","It's easy to use and understand how to receive a payment, print an invoice, mark favorite tasks ect Review collected by and hosted on G2.com.",Sometimes it is slow to communicate the payment with Dash. Review collected by and hosted on G2.com.,"It helps invoicing go smoothly, allowing for better customer service and billing/payments Review collected by and hosted on G2.com."
Venkatesh B.,Accountant,"Enterprise
(&gt; 1000 emp.)",Yes,Sage Intacct,4.0,2022-05-11,"""I have a good experience with it. However there are some changes needs to be done.""",The best thing in Intacct is that variou Review collected by and hosted on G2.com.,"The best thing in Intacct is that, we can access various tabs very easily.
For cash application, i can find the customers with all different types of data in one single window.
For reports generation where i have more options to customise the report in one place. I can even select the standard as well. Review collected by and hosted on G2.com.","I believe when i search with some amount that is copied from other source or worksheet, i need to manually remove the commas and others.
It is actually annoying, I believe it should be accepted even with commas as well.
One More thing that needs to be changed is that saving reports with parameters of our choice. where we no need to give various parameters at once everytime. We should have an option save our required parameters. Review collected by and hosted on G2.com."
finto l.,Senior Sales Operations Analyst,"Enterprise
(&gt; 1000 emp.)",Yes,Sage Intacct,4.5,2022-06-20,"""Best Subscription Billing Tool""","We are using it for accounting and tracking billable hours of our PM Team.
Its ledger helps us in multi-entry.
Everything is online no need to carry any paper or documents. Review collected by and hosted on G2.com.","Sometimes it gets tough for the new users unless you go through proper training.
Wish all the reports can be made by duplicating the existing reports, but all cannot be duplicated. Review collected by and hosted on G2.com.","We are using it for accounting and tracking billable hours of our PM Team.
The array of custom reports that we can create in it leaves our Leadership Team surprised. Review collected by and hosted on G2.com."
Lindsay C.,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.0,2023-04-07,"""Intacct!""","Versatility, ability of software, reporting Review collected by and hosted on G2.com.","Learning new navigation, some contstraints Review collected by and hosted on G2.com.","Multi Entity, payroll, reporting Review collected by and hosted on G2.com."
,,"Mid-Market
(51-1000 emp.)",Yes,Sage Intacct,4.5,2023-05-04,"""User friendly with a few glitches""",I love the cloud based format allowing me to work effectively from a remote location. Review collected by and hosted on G2.com.,THe prepaid and fixed asset module and the fact formulas don't export with the reports Review collected by and hosted on G2.com.,Strong accounting system that complies with GAAP requirements. Review collected by and hosted on G2.com.
