STR Number,Hotel Name,Address 1,City,State,URL,Hotel Name Found,Hotel Website URL,Hotel Phone Number,Avg Rating,# Total Reviews,Hotel Local Ranking,Rating - Location,Rating - Cleanliness,Rating - Service,Rating - Value,GreenLeaders GreenPartner,Traveler's Choice,Property Amenities,Room Features,Room Types,Hotel Class,Hotel Style,Location Rating 1,Location Rating 1 Text,Location Rating 1 Detail,Location Rating 2,Location Rating 2 Text,Location Rating 2 Detail,Location Rating 3,Location Rating 3 Text,Location Rating 3 Detail,# 5 Star Ratings,# 4 Star Ratings,# 3 Star Ratings,# 2 Star Ratings,# 1 Star Ratings,# QAs,# Room Types,Popular Mentions
19372,Econo Lodge Cedar Rapids,622 33rd Ave SW,Cedar Rapids,IA,https://www.tripadvisor.com/Hotel_Review-g37743-d88292-Reviews-Econo_Lodge-Cedar_Rapids_Iowa.html,Econo Lodge,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=235137807&geo=88292&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=984132&nrank=1&crank=1&clt=CLD&ttype=ContactLinkDesktop&tm=268380266&managed=false&capped=false&gosox=Rnc68ag1Z1kBEFxPUSV6GghfKXdUVHtE_HoRN-bTxvQdQx4u-Ti41-fVPabjGIyctTBJMWLqDYB4ZNe5zmZDb6QO9-23LCkMv8QL-k18HJuMwTsR5PKMMoogKjn_i5g4&adults=2&child_rm_ages=&inDay=16&outDay=17&rooms=1&dated=true&inMonth=7&inYear=2023&outMonth=7&outYear=2023&def_d=true&bapid=1&cs=16f39abc7728cfcd3d4b319ce3248a2f0_hCr,18446460221,3.5,59,#30 of 41 hotels in Cedar Rapids,4.0,4.0,4.0,4.0,FALSE,FALSE,"Free parking
Fitness Center with Gym / Workout Room
Wifi
Laundry service
Parking
Hot tub
Free breakfast
Self-serve laundry
Pool
Pets Allowed ( Dog / Pet Friendly )
24-hour front desk
Breakfast available
Non-smoking hotel
Free High Speed Internet (WiFi)
Tennis court
Dry cleaning","Desk
Telephone
Refrigerator
Coffee / tea maker
Kitchenette
Iron
Hair dryer
Air conditioning","Family rooms
Non-smoking rooms
Smoking rooms available",2.0,Budget,,,,,,,,,,18,15,11,8,7,2,13,other hotels
19621,The Mission Inn Hotel & Spa,3649 Mission Inn Ave,Riverside,CA,https://www.tripadvisor.com/Hotel_Review-g32978-d119398-Reviews-The_Mission_Inn_Hotel_Spa-Riverside_California.html,The Mission Inn Hotel & Spa,,,4.0,"2,098",#5 of 27 hotels in Riverside,4.3,4.4,4.2,3.9,FALSE,FALSE,"Hot tub
Ironing service
Sauna
Concierge
Dry cleaning
Wifi
Heated pool
Pool
Baggage storage
Conference facilities
Restaurant
Massage
Valet parking
Banquet room
Meeting rooms
24-hour front desk
Paid wifi
Outdoor pool
Business Center with Internet Access
Fitness Center with Gym / Workout Room
Laundry service
Spa
Bar / lounge
Non-smoking hotel","Flatscreen TV
Minibar
VIP room facilities
Room service
Private balcony
Iron
Air conditioning
Safe","Suites
Family rooms
Bridal suite
Non-smoking rooms",4.0,"Classic
Centrally Located",95,Great for walkers,Grade: 95 out of 100,57,Restaurants,within 0.3 miles,27,Attractions,within 0.3 miles,"1,137",501,187,126,147,37,100,"presidential lounge
festival of lights
las campanas
beautiful hotel
the mexican restaurant
cupcakes
holiday season
bucket list
one of a kind
valet parking
old world
holiday lights
third floor
walk around
pedestrian mall
downtown riverside
architecture
history
chapel
brunch
mission
christmas"
1933,Fireside Inn On Moonstone Beach,6700 Moonstone Beach Dr,Cambria,CA,https://www.tripadvisor.com/Hotel_Review-g32148-d76301-Reviews-Fireside_Inn-Cambria_San_Luis_Obispo_County_California.html,Fireside Inn,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=76301&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=268380266&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkS3jUU5drzDYmD4s5F-52Rdi58pxZlSbaujwEaj8g_6WLyVW8PpIubO_GuUwYB1NWw&adults=2&child_rm_ages=&inDay=16&outDay=17&rooms=1&inMonth=7&inYear=2023&outMonth=7&outYear=2023&def_d=true&bapid=1&cs=159a36063c9b384607bb2dc443dd96c1f_cn8,8889107100,4.0,"1,854",#14 of 16 hotels in Cambria,4.8,4.5,4.5,4.0,FALSE,FALSE,"Free parking
Fence around pool
Vending machine
Wifi
Gift shop
Heated pool
Parking
Beach
Pool
24-hour front desk
Non-smoking hotel
Free High Speed Internet (WiFi)
Outdoor pool
Express check-in / check-out
Concierge
Business Center with Internet Access","Desk
Refrigerator
Flatscreen TV
Sofa
Telephone
Private bathrooms
Clothes rack
Bath / shower
Wake-up service / alarm clock
Wardrobe / closet
Complimentary toiletries
Bathrobes
Blackout curtains
Iron
Hair dryer
Seating area
Fireplace","Ocean view
Non-smoking rooms",3.5,"Bay View
Mid-range",48,Car recommended,Grade: 48 out of 100,49,Restaurants,within 5 miles,72,Attractions,within 5 miles,913,601,221,86,33,12,100,"across the street
moonstone beach
hearst castle
patio room
ocean front
hot tub
beautiful location
tide pools
cookies
gas fireplace
the room was nice
king bed
elephant seals
glass of wine
a nice touch
san simeon
short drive
motel
coast
sunset
pet
office"
18778,Pacific Inn,3715 S Pacific Ave,San Pedro,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19413,Baymont Inn & Suites Lynchburg,2815 Candlers Mountain Rd,Lynchburg,VA,https://www.tripadvisor.com/Hotel_Review-g57919-d72863-Reviews-Baymont_by_Wyndham_Lynchburg-Lynchburg_Virginia.html,Baymont by Wyndham Lynchburg,,,3.5,302,#24 of 27 hotels in Lynchburg,4.1,3.6,4.0,3.5,FALSE,FALSE,"Newspaper
Shared lounge / TV area
Airport transportation
Pets Allowed ( Dog / Pet Friendly )
Dry cleaning
Free airport transportation
Wifi
Parking
Baggage storage
Free parking
Vending machine
Meeting rooms
24-hour front desk
Convenience store
Express check-in / check-out
Outdoor pool
Business Center with Internet Access
Breakfast buffet
Free breakfast
Non-smoking hotel
Free High Speed Internet (WiFi)","Refrigerator
Flatscreen TV
Microwave
Housekeeping
Air conditioning","Family rooms
Non-smoking rooms
Smoking rooms available",2.0,,58,Somewhat walkable,Grade: 58 out of 100,34,Restaurants,within 0.75 miles,6,Attractions,within 0.75 miles,88,65,55,40,54,2,23,"in town
complimentary breakfast
bed was very comfortable
would stay again
son
liberty"
19102,Amarillo Motel,2801 W Colorado Ave,Colorado Springs,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19036,Copper Cactus Inn,225 W Drachman St,Tucson,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19521,Mission Ranch Resort,26270 Dolores St,Carmel,CA,https://www.tripadvisor.com/Restaurant_Review-g32172-d468876-Reviews-Mission_Ranch_Restaurant-Carmel_Monterey_County_California.html,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,0,0,0,0,0,,,
1952,Hotel Dunnigan,3930 County Road 89,Dunnigan,CA,https://www.tripadvisor.com/Hotel_Review-g32318-d235408-Reviews-Americas_Best_Value_Inn_Dunnigan-Dunnigan_California.html,Americas Best Value Inn Dunnigan,https://www.tripadvisor.com/Commerce?p=Sonesta_BA&src=222367514&geo=235408&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=41375&bucket=948156&nrank=1&crank=1&clt=CLD&ttype=ContactLinkDesktop&tm=268380267&managed=false&capped=false&gosox=2afBke2oyOgyG0EnpWzKOOgjQviHlJQg6b-lnBPg98x_z9Z0XP9pjcZi3RyRnEOZZvp8ttcyCJuBfIJ-HwZ1ATf50m3GzMaq-myU9u5vLoA&adults=2&child_rm_ages=&inDay=16&outDay=17&rooms=1&dated=true&inMonth=7&inYear=2023&outMonth=7&outYear=2023&def_d=true&bapid=1&cs=1801f5880c3fec3002d9f7a51693e6607_9Xb,15307243333,3.0,50,#2 of 2 hotels in Dunnigan,3.6,3.3,3.2,3.0,FALSE,FALSE,"Free parking
Wifi
Laundry service
Parking
Bicycle rental
Self-serve laundry
Pool
Pets Allowed ( Dog / Pet Friendly )
24-hour front desk
Breakfast available
Paid wifi
Non-smoking hotel
Free High Speed Internet (WiFi)
Outdoor pool","Desk
Telephone
Refrigerator
Microwave
Wake-up service / alarm clock
Air conditioning
Fireplace","Family rooms
Non-smoking rooms",2.0,Budget,,,,,,,,,,10,7,10,10,13,1,9,
19269,The Coonamessett Inn,311 Gifford St,Falmouth,MA,https://www.tripadvisor.com/Hotel_Review-g41565-d115009-Reviews-The_Coonamessett-Falmouth_Cape_Cod_Massachusetts.html,The Coonamessett,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=115009&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=268380267&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkS116MNbyk_BzkvrNBZddyGI6obVjEhizTumC4sElsiS8KZu-zTCGkYnAYiWLS5eQw&adults=2&child_rm_ages=&inDay=16&outDay=17&rooms=1&inMonth=7&inYear=2023&outMonth=7&outYear=2023&def_d=true&bapid=1&cs=191c8d0006724a0a8f5f844a603820785_U35,0015085440840,4.0,98,#15 of 20 hotels in Falmouth,4.5,4.4,4.2,4.0,FALSE,FALSE,"Free parking
Newspaper
Babysitting
Wifi
Banquet room
Bicycle rental
Meeting rooms
Special diet menus
Bar / lounge
Non-smoking hotel
Free High Speed Internet (WiFi)
Baggage storage
Restaurant","Desk
Refrigerator
Sofa
Telephone
Clothes rack
Bath / shower
Wake-up service / alarm clock
Complimentary toiletries
Bathrobes
Housekeeping
Iron
Hair dryer
Air conditioning
Seating area","Suites
Family rooms
Non-smoking rooms",3.0,"Mid-range
Charming",48,Car recommended,Grade: 48 out of 100,59,Restaurants,within 0.75 miles,17,Attractions,within 0.75 miles,46,22,14,9,7,6,25,"two bedroom suite
continental breakfast
cape cod
thin walls
living area
perfect stay
bed was very comfortable
yogurt
martha s vineyard
off season
woods hole
lark
pond
wedding
property
unsightly
properties
linens
accommodations
summer"
19544,Econo Lodge Inn & Suites Northborough,380 SW Cutoff,Northborough,MA,https://www.tripadvisor.com/Hotel_Review-g41743-d235289-Reviews-Econolodge_Inn_Suites-Northborough_Massachusetts.html,Econolodge Inn & Suites,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=235134914&geo=235289&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=984132&nrank=1&crank=1&clt=CLD&ttype=ContactLinkDesktop&tm=268380267&managed=false&capped=false&gosox=Rnc68ag1Z1kBEFxPUSV6GghfKXdUVHtE_HoRN-bTxvQdQx4u-Ti41-fVPabjGIyctTBJMWLqDYB4ZNe5zmZDbypj7OpURiFnsvXq_56TUXrk3p1k0ELWJNoiLKpdi_tG&adults=2&child_rm_ages=&inDay=16&outDay=17&rooms=1&dated=true&inMonth=7&inYear=2023&outMonth=7&outYear=2023&def_d=true&bapid=1&cs=1578bd3847c94a5880a2645d4d7eba238_O9K,18336853878,3.0,65,#3 of 3 hotels in Northborough,3.3,3.0,3.3,3.1,FALSE,FALSE,"Free parking
Fitness Center with Gym / Workout Room
Wifi
Parking
Bicycle rental
Free breakfast
Pets Allowed ( Dog / Pet Friendly )
Self-serve laundry
Bar / lounge
Non-smoking hotel
Free High Speed Internet (WiFi)","Refrigerator
Flatscreen TV
Microwave
Kitchenette
Housekeeping
Air conditioning
Fireplace","Suites
Family rooms
Non-smoking rooms
Smoking rooms available",2.0,,,,,,,,,,,12,11,12,9,21,1,20,
18948,American Inn Motel,3325 Fremont St,Las Vegas,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18745,Hotel Del Sol,6900 Pensacola Blvd,Pensacola,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19248,Spinnaker Motel,1800 N Baltimore Ave,Ocean City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18980,Thunderbird Hotel & Lounge,1215 S Las Vegas Blvd,Las Vegas,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,Bishop 395 Inn,150 E Elm St,Bishop,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19278,La Quinta Inn & Suites by Wyndham Buena Park,3 Centerpointe Dr,La Palma,CA,https://www.tripadvisor.com/Hotel_Review-g32581-d76252-Reviews-La_Quinta_Inn_Suites_by_Wyndham_Buena_Park-La_Palma_California.html,La Quinta Inn & Suites by Wyndham Buena Park,,,4.0,778,,4.4,4.0,4.2,4.0,FALSE,FALSE,"Hot tub
Pets Allowed ( Dog / Pet Friendly )
Dry cleaning
Wifi
Parking
Self-serve laundry
Pool
Free parking
Meeting rooms
24-hour front desk
Outdoor pool
Business Center with Internet Access
Fitness Center with Gym / Workout Room
Breakfast buffet
Children Activities (Kid / Family Friendly)
Laundry service
Free breakfast
Non-smoking hotel
Free High Speed Internet (WiFi)","Refrigerator
Flatscreen TV
Microwave
Room service
Housekeeping
Air conditioning","Suites
Family rooms
Non-smoking rooms",2.5,Family,46,Car recommended,Grade: 46 out of 100,30,Restaurants,within 0.75 miles,0,Attractions,within 0.75 miles,299,223,116,81,59,9,59,"waffles
knotts berry
king bed
continental breakfast
freeway
pets
disneyland
park
cereal"
19142,Days Inn Atlanta Airport West East Point,4498 Washington Rd,East Point,GA,https://www.tripadvisor.com/Hotel_Review-g34916-d270904-Reviews-Days_Inn_by_Wyndham_Hartsfield_Jackson_Atlanta_Airport_West-East_Point_Georgia.html,Days Inn by Wyndham Hartsfield Jackson Atlanta Airport West,,,2.5,131,#12 of 12 hotels in East Point,2.6,2.1,2.9,2.4,FALSE,FALSE,"Free parking
Fitness Center with Gym / Workout Room
Free airport transportation
Wifi
Children Activities (Kid / Family Friendly)
Parking
Free breakfast
Airport transportation
Breakfast available
Shuttle bus service
Non-smoking hotel
Free High Speed Internet (WiFi)","Refrigerator
Air conditioning
Housekeeping
Microwave","Suites
Family rooms
Non-smoking rooms",3.0,Budget,,,,,,,,,,47,5,5,16,58,2,11,"such short notice
house keeper
pleasant stay
room was clean
great place to stay
business trip
close to the airport
front desk staff
creek
furniture
linens"
1940,Carmel Resort Inn,Carpenter St,Carmel by the Sea,CA,https://www.tripadvisor.com/Hotel_Review-g32172-d14050063-Reviews-Carmel_Resort_Inn-Carmel_Monterey_County_California.html,Carmel Resort Inn,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=14050063&from=Hotel_Review&area=&slot=2&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=268380268&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkbeHan7uYbtmTW9NrsalGnMv_D8sSzR_OfdICK7sjGVJawYU5ovG6mJfVfFaEKsdMQ&adults=2&child_rm_ages=&inDay=16&outDay=17&rooms=1&inMonth=7&inYear=2023&outMonth=7&outYear=2023&def_d=true&bapid=2&cs=1a7cdb0e05d8a5bfb798ef2c274b436a9_vQG,0018312938390,3.5,46,#20 of 22 B&Bs / Inns in Carmel,4.0,4.0,3.7,4.8,FALSE,FALSE,"Free parking
Wifi
Children Activities (Kid / Family Friendly)
Pets Allowed ( Dog / Pet Friendly )
Non-smoking hotel
Free High Speed Internet (WiFi)
Business Center with Internet Access","Refrigerator
Microwave
Kitchenette
Fireplace","Suites
Family rooms
Non-smoking rooms",2.0,,60,Somewhat walkable,Grade: 60 out of 100,75,Restaurants,within 0.75 miles,99,Attractions,within 0.75 miles,13,14,8,4,7,1,3,"minute walk to downtown
road trip
carmel area
a great place to stay
fireplace
dog"
19564,Super 8 Evansville East,4600 E Morgan Ave,Evansville,IN,https://www.tripadvisor.com/Hotel_Review-g37093-d91279-Reviews-Super_8_by_Wyndham_Evansville_East-Evansville_Indiana.html,Super 8 by Wyndham Evansville East,,,3.5,233,#29 of 38 hotels in Evansville,4.0,3.4,3.7,3.6,FALSE,FALSE,"Free parking
Wifi
Parking
Free breakfast
Pets Allowed ( Dog / Pet Friendly )
Non-smoking hotel
Free High Speed Internet (WiFi)","Room service
Air conditioning
Microwave",Non-smoking rooms,2.0,,63,Somewhat walkable,Grade: 63 out of 100,13,Restaurants,within 0.3 miles,4,Attractions,within 0.3 miles,59,54,53,29,38,1,15,"movie theater
room was clean
night's sleep
staff was very friendly
would definitely stay here again
recliner
pet"
1921,La Quinta Inns & Suites Berkeley,900-920 University Ave,Berkeley,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19602,Plump Jack Squaw Valley Inn,1920 Squaw Valley Rd,Olympic Valley,CA,https://www.tripadvisor.com/Restaurant_Review-g32822-d459028-Reviews-PlumpJack_Cafe-Olympic_Valley_Lake_Tahoe_California_California.html,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,0,0,0,0,0,,,
19525,Chicago Club Inn & Suites,630 Pasquinelli Dr,Westmont,IL,https://www.tripadvisor.com/Hotel_Review-g36875-d88079-Reviews-Chicago_Club_Inn_Suites-Westmont_DuPage_County_Illinois.html,Chicago Club Inn Suites,,,3.0,103,#3 of 3 hotels in Westmont,3.9,2.1,3.2,3.3,FALSE,FALSE,"Indoor pool
Free parking
Fitness Center with Gym / Workout Room
Breakfast buffet
Wifi
Laundry service
Parking
Banquet room
Free breakfast
Meeting rooms
Pool
Pets Allowed ( Dog / Pet Friendly )
Self-serve laundry
Non-smoking hotel
Free High Speed Internet (WiFi)
Conference facilities
Business Center with Internet Access","Refrigerator
Air conditioning
Housekeeping
Microwave","Family rooms
Non-smoking rooms",3.0,Mid-range,,,,,,,,,,22,14,20,13,34,3,21,
20096,Rodeway Inn Macon,2566 Riverside Dr,Macon,GA,https://www.tripadvisor.com/Hotel_Review-g60920-d86621-Reviews-Rodeway_Inn-Macon_Georgia.html,Rodeway Inn,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=235135145&geo=86621&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=984132&nrank=1&crank=1&clt=CLD&ttype=ContactLinkDesktop&tm=268380271&managed=false&capped=false&gosox=Rnc68ag1Z1kBEFxPUSV6GghfKXdUVHtE_HoRN-bTxvQdQx4u-Ti41-fVPabjGIyctTBJMWLqDYB4ZNe5zmZDb3IyWeAsyUB7WJffwiEdyBn-0-UZ8PmqvumzdnlQ9xNk&adults=2&child_rm_ages=&inDay=16&outDay=17&rooms=1&dated=true&inMonth=7&inYear=2023&outMonth=7&outYear=2023&def_d=true&bapid=1&cs=1c4f12d05f2fdf974abc5bdca66566622_03y,18445430417,2.0,114,#65 of 72 hotels in Macon,3.3,2.1,2.7,2.4,FALSE,FALSE,"Free parking
Newspaper
Wifi
Laundry service
Parking
Express check-in / check-out
Free breakfast
Pets Allowed ( Dog / Pet Friendly )
Pool
24-hour front desk
Non-smoking hotel
Free High Speed Internet (WiFi)
Outdoor pool
Shops
Business Center with Internet Access","Air conditioning
Microwave","Family rooms
Non-smoking rooms",2.0,,40,Car recommended,Grade: 40 out of 100,270,Restaurants,within 5 miles,50,Attractions,within 5 miles,5,9,12,23,65,0,13,
19343,Forty Club Inn,960 2nd St NW,Aitkin,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19576,Snooty Fox Motor Inn,4120 S Western Ave,Los Angeles,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19406,Harmony House Motel,815 E Michigan Ave,Ypsilanti,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19337,Pleasant Motel,171 28th St SE,Grand Rapids,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19206,Benos Motel,1178 Clover Hill Rd,Saint Martinville,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19500,Gold Country Inn,720 S Main St,Angels Camp,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20137,Fireside Inn & Suites Gilford,17 Harris Shore Rd,Gilford,NH,https://www.tripadvisor.com/Hotel_Review-g46093-d92156-Reviews-Fireside_Inn_Suites_At_Lake_Winnipesaukee-Gilford_New_Hampshire.html,Fireside Inn & Suites At Lake Winnipesaukee,,,4.5,571,#1 of 6 hotels in Gilford,4.6,4.4,4.6,4.1,FALSE,FALSE,"Indoor pool
Newspaper
Coffee shop
Skiing
Boating
Hot tub
Fishing
Airport transportation
Pets Allowed ( Dog / Pet Friendly )
Sun deck
Taxi service
Complimentary tea
Shallow end in pool
Fence around pool
Concierge
Tennis court offsite
Wifi
Heated pool
Children's television networks
24-hour security
Parking
Self-serve laundry
Pool
Hiking
Conference facilities
Snack bar
Baggage storage
Free parking
Water sport equipment rentals
Vending machine
Pool / beach towels
Clothes dryer
Highchairs available
Banquet room
Meeting rooms
Sun loungers / beach chairs
24-hour front desk
Breakfast available
First aid kit
Board games / puzzles
Express check-in / check-out
Books, DVDs, music for children
Outdoor pool
Photo copier / fax In business center
Outdoor furniture
Business Center with Internet Access
Fitness Center with Gym / Workout Room
Complimentary Instant Coffee
Washing machine
Kids stay free
Outdoor dining area
Canoeing offsite
Laundry service
Sun umbrellas
Free breakfast
Non-smoking hotel
Free High Speed Internet (WiFi)
Car hire
BBQ facilities","Desk
Kitchenware
Wake-up service / alarm clock
Coffee / tea maker
Housekeeping
Private balcony
Air conditioning
Seating area
Fireplace
Sofa bed
Sofa
Refrigerator
Separate living room
Microwave
Minibar
Bath / shower
Oven
Kitchenette
Iron
Telephone
Flatscreen TV
Cable / satellite TV
Interconnected rooms available
Separate dining area
Complimentary toiletries
Hair dryer
Safe
Private bathrooms
Laptop safe
Tile / marble floor
Stovetop
Dishwasher
Radio
Dining area","Family rooms
Pool view
Non-smoking rooms
Mountain view
Suites",2.5,"Family
Green",42,Car recommended,Grade: 42 out of 100,74,Restaurants,within 5 miles,39,Attractions,within 5 miles,319,185,38,15,14,8,100,"concert venue
pool and hot tub
full kitchen
exercise room
parking lot"
19676,Ragged Point Inn & Resort,19019 Highway 1,Ragged Point,CA,https://www.tripadvisor.com/Hotel_Review-g33039-d291182-Reviews-Ragged_Point_Inn_and_Resort-San_Simeon_San_Luis_Obispo_County_California.html,Ragged Point Inn and Resort,,,4.0,838,#1 of 2 B&Bs / Inns in San Simeon,4.7,4.0,3.7,3.5,FALSE,FALSE,"Outdoor furniture
Free parking
Picnic area
Internet
Children Activities (Kid / Family Friendly)
Gift shop
Pets Allowed ( Dog / Pet Friendly )
Non-smoking hotel
Outdoor fireplace
Bar / lounge
Convenience store
Free internet
Restaurant","Refrigerator
Wake-up service / alarm clock
Flatscreen TV","Ocean view
Family rooms
Non-smoking rooms",3.0,Bay View,36,Car recommended,Grade: 36 out of 100,1,Restaurant,within 5 miles,3,Attractions,within 5 miles,313,283,119,64,59,7,100,"the cliff
gift shop
big sur
gas station
nature trail
espresso bar
south end
convenience store
great stop
the pacific ocean
road trip
fire pit
hummingbirds
cliffside
sunset
fog
hwy
miles
california
coastline
monterey
stretch"
19754,Ascend Collection Lincoln Sands Oceanfront Resort,535 NW Inlet Ave,Lincoln City,OR,https://www.tripadvisor.com/Hotel_Review-g51947-d74700-Reviews-Lincoln_Sands_Oceanfront_Resort_Ascend_Hotel_Collection-Lincoln_City_Oregon.html,"Lincoln Sands Oceanfront Resort, Ascend Hotel Collection",https://www.tripadvisor.com/Commerce?p=BestWestern_BA&src=186908901&geo=74700&from=Hotel_Review&area=&slot=2&matchID=1&oos=0&cnt=1&silo=38631&bucket=937050&nrank=1&crank=1&clt=CLD&ttype=ContactLinkDesktop&tm=268380271&managed=false&capped=false&gosox=g3xMt9YCHBy3ZUg-YypssegjQviHlJQg6b-lnBPg98x_z9Z0XP9pjcZi3RyRnEOZyaczhwuLIeW2x-B_IbjGBM_kbnVB_tBKKxfS6OqLzaM&adults=2&child_rm_ages=&inDay=16&outDay=17&rooms=1&dated=true&inMonth=7&inYear=2023&outMonth=7&outYear=2023&def_d=true&bapid=2&cs=14eb1b0f1a9ce871793560fc76b955b21_OOJ,18005688520,4.5,"1,495",#8 of 32 hotels in Lincoln City,4.8,4.4,4.5,4.2,FALSE,TRUE,"Fishing
Hot tub
Beach
Pets Allowed ( Dog / Pet Friendly )
Outdoor fireplace
Fence around pool
Wifi
Heated pool
Children's television networks
Parking
Self-serve laundry
Pool
Free parking
Vending machine
Pool / beach towels
Sun loungers / beach chairs
24-hour front desk
Breakfast available
Express check-in / check-out
Outdoor pool
Outdoor furniture
Business Center with Internet Access
Fitness Center with Gym / Workout Room
Breakfast buffet
Kids stay free
Laundry service
Free breakfast
Spa
Non-smoking hotel
Free High Speed Internet (WiFi)
BBQ facilities","Flatscreen TV
Sofa
Refrigerator
Kitchenware
Microwave
Wake-up service / alarm clock
Coffee / tea maker
Kitchenette
Iron
Housekeeping
Private balcony
Hair dryer
Air conditioning
Seating area","Ocean view
Family rooms
Non-smoking rooms
Suites",3.5,"Mid-range
Ocean View",63,Somewhat walkable,Grade: 63 out of 100,24,Restaurants,within 0.75 miles,18,Attractions,within 0.75 miles,889,401,131,38,36,10,100,"full kitchen
murphy bed
salmon chowder
separate bedroom
cookies
beach access
heated pool
living area
waffles
ocean view
great view
first floor
sliding door
oregon coast
get away
great room
great place to stay
beds were comfortable
free breakfast
love this place
gas fireplace
suite"
1992,Motel 6 Artesia,16905 Pioneer Blvd,Artesia,CA,https://www.tripadvisor.com/Hotel_Review-g29112-d75845-Reviews-Travelodge_by_Wyndham_Artesia-Artesia_California.html,Travelodge by Wyndham Artesia,,,1.5,37,#3 of 3 hotels in Artesia,2.5,1.7,1.7,1.8,FALSE,FALSE,"Umbrella
Public wifi
Hot tub
Fence around pool
Parking
Self-serve laundry
Pool
ATM on site
Free parking
Vending machine
Banquet room
Meeting rooms
24-hour front desk
Outdoor pool
Business Center with Internet Access
24-hour check-in
Kids stay free
Free breakfast
Non-smoking hotel
Free High Speed Internet (WiFi)","Desk
Refrigerator
Flatscreen TV
Interconnected rooms available
Bath / shower
Coffee / tea maker
Complimentary toiletries
Housekeeping
Iron
Hair dryer
Air conditioning
Private bathrooms","Pool view
Family rooms
Non-smoking rooms
Suites",2.0,,39,Car recommended,Grade: 39 out of 100,65,Restaurants,within 0.75 miles,1,Attraction,within 0.75 miles,1,2,2,3,29,0,2,
1966,Motel Gilroy,360 Leavesley Rd,Gilroy,CA,https://www.tripadvisor.com/Hotel_Review-g32428-d77093-Reviews-Econo_Lodge-Gilroy_California.html,Econo Lodge,,,3.5,258,#6 of 10 hotels in Gilroy,3.9,3.6,3.8,3.6,TRUE,FALSE,"Free parking
Wifi
Golf course
Dry cleaning
Laundry service
Parking
Hot tub
Free breakfast
Self-serve laundry
Pool
Breakfast available
Non-smoking hotel
Free High Speed Internet (WiFi)
Outdoor pool
Tennis court
Business Center with Internet Access","Refrigerator
Flatscreen TV
Microwave
Hair dryer
Air conditioning",Non-smoking rooms,2.0,,,,,,,,,,,36,87,79,27,29,0,19,
