Name,#Stars,Date Posted,Title,Description,Date of Experience,#Useful
Heather Carey,5,2022-03-04,My dog loved this box,My dog loved this box! I think the cake was his favorite toy! The treats were great and he was excited about it all. I am glad I got this box and can't wait for the next one.,2022-03-04,0
Susan Hanson,5,2022-03-04,Wonderful Value!!,"This is a gift for my sister's dog and each month he is so excited to receive his Barkbox.  I love the video she sends when she presents the box and he eagerly awaits the reveal.  He immediately tests out each toy and chooses a favorite. 

The contents are always high quality and well received.  Will renew year after year, thank you!!",2022-03-04,0
Corine Choice,5,2022-03-04,Both Diesel & I love BarkBox,Both Diesel & I love BarkBox! Seeing my bulldog happy makes me happy! We both couldn’t be happier! 🤗 Thank you BarkBox!,2022-03-04,0
Cris,5,2022-03-04,Great,"we had no problems, it was great. but financial we cant continue at this time. The toys were durable, the treats were great. I will definitely be going back when i can.",2022-03-04,0
Tracey Kimball,4,2022-03-04,I work a lot of hours and don't get to…,I work a lot of hours and don't get to spend quality play time with my dogs and these little toys are great and snacks because it does make the quality time that I spend with them even better,2022-03-04,0
R. T.,5,2022-03-04,My dog loves Bark Box day,My dog loves Bark Box day and we love seeing her so excited. The toys and treats are always top of the line. Thanks for always taking care of our Layla!,2022-03-04,0
irolorrefs,5,2022-03-04,I've had no complaints about barkbox,"I've had no complaints about barkbox. Always gotten in a timely  fashion and needless to say, the 4 leggeds don't complain! Hehe.",2022-03-04,0
Abby ,5,2022-03-04,Great company & service,Great company & service.,2022-03-04,0
Dannie Egan,5,2022-03-04,Excellent toys my dogs love them,Excellent toys my dogs love them! Communication is amazing,2022-03-04,0
Reba Lee Andrade,4,2022-03-04,Great ottis loved his box  of treats…,Great ottis loved his box  of treats and  chew toys have outlasted him for a change 😀,2022-03-04,0
Haleigh Martin,5,2022-03-03,Barkbox is amazing,"Barkbox is amazing! We love all our toys, and we are a HUGE fan of the Clucky Soft Bakes! Thank you for taking such good care of my Seger and all your other customers!",2022-03-03,0
Tommy Phillips,5,2022-03-04,Great service,"Great service, excellent dog toys and treats!",2022-03-04,0
Cyndi Snyder,5,2022-03-04,I love Bark Box,I love Bark Box. My dog knows when its her box and gets so excited.  Any time I have a question I text this company and they answer n matter of minutes and work with u 2 get ur dog what she wants. I feel like me and Lexi(my dog) r important. Thanks Bark Box,2022-03-04,0
Cynthia Wilder,5,2022-03-04,Senior excitement,"We have 6 senior dogs.
Three of them Lori shares her box.
Her excitement is so contagious that when she sees her box and she’s getting her head in her nose in there and trying to get into the box the other two get overly excited and they can’t wait to see what’s in the box. 
It is a day of just excitement and joy and exploration and play.",2022-03-04,0
stacy barnhart,5,2022-03-04,Brutus loves it,"brutus loves the treats. most of the toys are great, a few he has tore within a few mins but the team took care of it. he looks forward to this monthly",2022-03-04,0
Murphy and friends,5,2022-03-04,We LOVE BarkBox,We LOVE BarkBox! I have two large dogs and one ankle biter who look forward to their BarkBox with great excitement. I get one for large dogs and one for small. There are plenty of high quality toys and treats for everyone. My cats even get in on the fun and steal toys. And customer service is beyond wonderful! We’ve had BarkBox since 2009 (with a break when we were in Japan) and will have BarkBox for life.,2022-03-04,0
Donna Bee,5,2022-03-04,We were very happy with our first Bark…,"We were very happy with our first Bark Box! I was a little concerned to make the investment, but no worries.  The toys and treats are great quality,  and my pups are very pleased! We can't wait for our next delivery.",2022-03-04,0
Dana Leeper,5,2022-03-04,I moved out of state but my daughter…,I moved out of state but my daughter stayed. Both boxes had my name on it so my daughters box was lost in the mail for a few weeks as it tried to forward. I called and got great customer service and her box is now under her name and a new box was sent to her.,2022-03-04,0
Tammy Spegele,5,2022-03-04,Was great the heart cookie he loved the…,Was great the heart cookie he loved the cake was adorable,2022-03-04,0
Lulu Brock,5,2022-03-04,We ordered our new English bulldog puppy,"We ordered our new English bulldog puppy a bark box and it was a very extremely easy process!! I went online answered a few questions and it was ordered!!! And only about 3 days later we came home to find the box waiting at our door! Our puppy helped open the box and was so excited about the toys and treats! It was actually fun watching her check out her new toys and see her try her new treats and chew bones!! I’m excited about the future boxes and what will come in those. 
Thank you bark box for making this a very easy and enjoyable experience!",2022-03-04,0
Julie Fox,5,2022-03-04,Thank you for your assistance.,Thank you for your assistance.,2022-03-04,0
Cindy Rivera,5,2022-03-04,I would like to say Bark Box is…,"I would like to say Bark Box is amazing!!! My puppy started out on regular toys. The last shipment was regular toys. Well she tore holes in them in a couple days. I took pics and sent to Bark Box. They let me finish my subscription to Supper Chewer and replaced to tore up toys. They went beyond and above in replacement toys. My puppy LOVES them!!! 
Incredible customer service!! 
Thank you again Bark Box",2022-03-04,0
Kim,5,2022-03-04,Great toys and treats!,Always good toys and treats arrive. Great service and my dog loves to receive his monthly box.  Also like the monthly themes.,2022-03-04,0
Justine Engel,5,2022-03-04,Bark box is such an amazing company,"Bark box is such an amazing company. My sweet Marley unfortunately passed away, but he sure did love his bark boxes. Every time I would bring the package in he would jump all over the house, tail wagging and all. When I had to cancel my subscription, they sent their condolences and that meant so much to me. This is a wonderful company and when I’m ready for another pup I will definitely continue to always use this company. Thank you again, BarkBox.",2022-03-04,0
Jessica Sherry,5,2022-03-04,We love our BarkBox,"We love our BarkBox, our Jazzy loves when she gets her treats and toys. Everytime a box comes in she thinks it is her box.",2022-03-04,0
Lori Welch,5,2022-03-04,Bella loves the treats and toys.,Bella loves the treats and toys.,2022-03-04,0
Monika Nessbach,5,2022-03-02,Best subscription I've ever signed up for!,"Bark Box is truly the best subscription experience I've ever had. My pup loves opening the box together with his best friend. A day or two after receiving the box, I got an email to inquire how everything was received and I just reported that some of the toys already had found their last peace and had to be disposed because they were destroyed and played with so roughly. Bark Box immediately responded and said that they changed the toys going forward to heavy chewer toys and also told me they are sending an additional heavy chew toy to make up for the lost play time. Totally unexpected. What an amazing customer experience. Thanks so much!",2022-03-02,0
Trish A Faulkner,5,2022-03-03,We love everything about it,We love everything about it,2022-03-03,0
DALE KIMSEY,5,2022-03-03,Wonderful customer service,"your customer service department was very quick in getting back to me. I felt like I was speaking with a person vs.
 a robot, and that the CSR really cared about my concerns. I wish you would come up with a quarterly box instead of every month or 6 months. The 6 month doesn't say if it every month for 6 months or every other month over a year. That might be a nice offer also. Anyway, I will suggest your company and order more when I feel I can afford to. Thanks you!",2022-03-03,0
Julie M,5,2022-03-03,A Real Treat,My fur baby loves her Bark Box and the Yeti water bowl is hit!  The plush toys have become her favorites.  Thank you,2022-03-03,0
Charles Hein,5,2022-03-03,Happy Dog,Our dog Maisie is definitely a super chewer and the toys in her box can withstand her chewing habits. She is a Blue Heeler and she is mixed with Black Lab and Australian Cattle dog so her chewing definitely gets some of her energy out. She gets so excited when she sees the box (think she smells what’s inside). She loves the treats and it keeps her happy!,2022-03-03,0
Rhett Lowder,5,2022-03-03,My pup loved the box she enjoyed…,My pup loved the box she enjoyed everything,2022-03-03,0
Lou Ann Walker,5,2022-03-03,Awesome Customer Service,Love Bark Box!  We had one small issue and it was taken car of immediately!  Their team followed through and followed up!  It’s been a long time since I’ve seen customer service this good! Thanks for everything!,2022-03-03,0
Laurie Mott,5,2022-03-03,My dogs loved receiving the boxes each…,My dogs loved receiving the boxes each month.  Just the right amount of toys and treats.,2022-03-03,0
Shari Yetto,5,2022-03-03,My GSD loves everything that comes in…,My GSD loves everything that comes in the boxes!,2022-03-03,0
Brigitte Grady,5,2022-03-03,Our Lady loved everything in her…,Our Lady loved everything in her monthly box.  She couldn’t be happier!,2022-03-03,0
Suzanne M Austin,5,2022-03-03,Great box for my little super chewer,Great box for my little super chewer! She loved everything,2022-03-03,0
PM NJ,5,2022-03-03,Katie’s first box was customized just…,Katie’s first box was customized just for her. The customer service reps have been pleasant professionals. Katie recommends Bark Box to all her friends!,2022-03-03,0
customer,5,2022-03-03,February box,Katia really enjoyed the cookies in the February box.  The toys kept her busy during the day.,2022-03-03,0
Morghan Thornton,5,2022-03-03,Medium Chewer Sub.,"To be completely honest, the BarkBox we received was PERFECT in the looks. The toys are nice in the basic and medium chewers for smaller, less bitey babies. The flavors of the treats are always good for my dogs and they have healthy choices and add ons for a fair price!",2022-03-03,0
Thomas Schmidt,5,2022-03-03,Spike and I would have to give BarkBox…5 stars,"Spike and I would have to give BarkBox 5 stars. He loves the variety of items each month, and the service from staff is top of the line. High regards to the entire team at BarkBox.",2022-03-03,0
Tracy Johnson,5,2022-03-03,Our German Shepherd puppy loves the…,Our German Shepherd puppy loves the toys. She enjoyed the treats but didn’t care for the turkey ones. But overall very satisfied!!,2022-03-03,0
Darlena Detweiler,5,2022-03-02,Gracie loves her new Bark box,"Gracie loves her new Bark box ! The toys are perfect and of course who doesn’t like a great snack after play time ? Thanks for choosing safe , reliable and durable toys for our little Gracie we really appreciate it .",2022-03-02,0
Joseph Snyder,5,2022-03-02,Hank loved his BB,"Hank loved his BB. 
CANT WAIT DOE NUMBER 2",2022-03-02,0
Wendy,5,2022-03-02,We love Bark box,We love Bark box! They reached out to me after I listed satisfied in a survey. The offered to change things sent to better meet my dogs likes! Great customer service!,2022-03-02,0
Dickerson,5,2022-03-02,My pup love it!,My pup love it!,2022-03-02,0
Trey,5,2022-03-02,amazing stuff,amazing stuff,2022-03-02,0
Desiree Nelson,5,2022-03-02,Highly recommend,Fast shipping and excellent customer service! Great quality products!,2022-03-02,0
Anna Cecco,5,2022-03-02,Fun for the pups!,"Never did one of these boxes before, and the dogs loved it for their first time!",2022-03-02,0
Patricia Thompson,5,2022-03-02,Was Skeptical and Now I'm a Bark Box Fan,"Good, cute, sturdy toys that my dogs really like,  They LOVE the treats.  And the toys keep them occupied so they don't destroy the furniture.  That's a big win in my book.",2022-03-02,0
Jeff Henslin,3,2022-03-02,I have a 70 lb lab and the toy that was…,I have a 70 lb lab and the toy that was sent to replace a different toy was not acceptable. It was for a small dog and she could hardly play with it. The durability was great but we couldn't even play tug a war or fetch. I am glad that you reach out to customers but I think the selection of the toy should be based on the size of the dog.,2022-03-02,0
John,4,2022-03-02,Not bad,Treats were good. Toys were so so.,2022-03-02,0
Camryn,5,2022-03-02,My pup and I absolutely love Bark Box,"My pup and I absolutely love Bark Box! The Super Chewer box in particular. This one is definitely my favorite, it comes with tough toys, chews and treats. My pup gets so excited every time he sees one at the door! Definitely worth every penny!",2022-03-02,0
joseph kent,5,2022-03-02,Me and my dogs loved it,Me and my dogs loved it,2022-03-02,0
belinda durham,5,2022-03-02,Love it,Love it. My dog loves everything,2022-03-02,0
Paulette Andersen,5,2022-03-02,Kosmo just loves his bark boxes!,"Kosmo just loves his bark boxes!
He gets so excited now when he sees the box! He know what's inside, fun toys and yummy treats!",2022-03-02,0
Seren Holcomb,5,2022-03-02,I love my Bark Box Super Chewer box!,"I love my Bark Box Super Chewer box!!  Well, I should say Hazel loves it!  The toys are perfect for her and are a challenge to destroy!  I had contacted BB because my little miss has a sensitive tummy and the treats were not doing it for us.  I was cheerfully helped and issue solved!  Hazel is a happy pup!!",2022-03-02,0
Holley Zachary,5,2022-03-02,Loved the box!,Loved the box!,2022-03-02,0
Nancy e Williams,5,2022-03-01,excited!!,my fur baby was excited when she received the box she had enjoy every thing in the box the only downfall she really ripped her toys into pieces but they sending her a replacement until she gets the march box i cant wait i love to see her happy thanks  guys,2022-03-01,0
Robin Neider,5,2022-03-01,Great team very caring,Great team very caring,2022-03-01,0
Teresa McKinney,5,2022-03-01,Very good toys and treats,Very good toys and treats. Ella absolutely loved the toys,2022-03-01,0
Heather Ballance-Brown,5,2022-03-01,Puppies loved their new toys,"Puppies loved their new toys, especially the Chocolate covered strawberry.",2022-03-01,0
DOROTHY COMARDO,5,2022-03-01,I’m really impressed with this company…,I’m really impressed with this company I think they do a welcoming job for new and old uses a friend just told she has been using your for about a year,2022-03-01,0
Janice Kearns,4,2022-03-01,Great products,Great products. Customer service is fantastic. They go out of their way to make things right,2022-03-01,0
Laurie,5,2022-03-01,We love BarkBox,"We love BarkBox! The toys, treats, and customer service is awesome.",2022-03-01,0
Paul Garcia,5,2022-03-01,Wonderful compassionate people!,My dog loved his goodie box and I love spoiling him. The matching robes was the best surprise ever!,2022-03-01,0
kathi Burke,5,2022-03-01,Thanx for the fun!,Thanx for the fun!!  Pickles didn’t know what to play with 1st,2022-03-01,0
Gerri-Anne Salsbury,3,2022-03-01,Everyone was very nice just not very…,Everyone was very nice just not very helpful. I had a new puppy and I asked about a toy and they said he should be great with it… I got home and the toy wasn’t recommended for heavy chewing puppies. I should have been more informed as an owner however I trusted that some one working in a pet boutique with limited merchandise I could have been steered in a better way.,2022-03-01,0
Maggie Johnson,5,2022-03-01,Ms Maggie Twotoes is so happy  😊  she…,Ms Maggie Twotoes is so happy  😊  she plays with her new toys everyday. Loves the valentines cake 🎂,2022-03-01,0
Stephanie Smith,5,2022-03-01,The Daisy Test,I subscribed for my foster pup (she was destroying toys at an epic pace). The toys sent from BarkBox withstood the Daisy test ~ and she loved the treats. I was able to send 75% of the toys with her to her permanent home,2022-03-01,0
C. H.,5,2022-03-01,All was ok,"All was ok, delivered on time",2022-03-01,0
Barbara Dunlap,5,2022-03-01,U guys are amazing my lil fur kids love…,U guys are amazing my lil fur kids love you guys,2022-03-01,0
HEATHER ,5,2022-03-01,My dog loved everything she was so happy,My dog loved everything she was so happy,2022-03-01,0
Margaret,5,2022-03-02,Love it,Love it! My dog was so excited to get her box. She loved the toys and treats. One of the toys was a small toy but she loves it and plays with it everyday.,2022-03-02,0
Joyce Martin,5,2022-02-27,Just make toys n bed stronger because…,Just make toys n bed stronger because my dog tears up things very easily,2022-02-27,0
Sonia S.,5,2022-02-27,Pita Chip loved all her plush toys,"Pita Chip loved all her plush toys, treats and especially the super chewers the scout program provided as a quick replacement for my growing baby!",2022-02-27,0
Jenee Olson,5,2022-02-27,Best toys for your fur babies....,If I could afford this box every month I would do it. My dog loved everything in the box and couldn't wait for it to come in the mail. Out of all six boxes she has been unable to chew through any toy. Which is great cause it keeps her busy for hours. She loves her toys that make sound. I would recommend this box to anyone.  Customer service was so helpful. I have a 3 year old Cane Corso mix and like I said she has yet to rip apart any of her chew toys. Everything is made very well.,2022-02-27,0
Michele Sutherland,5,2022-02-27,Amazing Super Chewer!,We ordered the super chewer box for our dog. This was our first BarkBox order and we are super happy with the products and quality of the products. BarkBox quality is perfect for our dog. He tends to be an aggressive chewer and his toys normally last 3 days to 1 week. With BarkBox the toys have lasted perfectly and will definitely last for a long time! Amazing product.,2022-02-27,0
Daosmond,5,2022-02-27,The best Christmas stomper service on…,The best Christmas stomper service on the planet. Truly.,2022-02-27,0
Michele Aguilar,5,2022-02-27,Khaleesi is always excited when her box…,Khaleesi is always excited when her box 📦 🐶comes,2022-02-27,0
Lyndanorrybarnes,5,2022-02-27,Love how we can personalize our boxes…,Love how we can personalize our boxes to the needs of our four legged kiddos!,2022-02-27,0
Mona Hayward,5,2022-02-27,She loves bark box,She loves bark box! Great toys and treats.,2022-02-27,0
Jessica Romero,5,2022-02-28,Love the treats - working on toys toughness,"My pup loves all the treats.  She's recently been chewing more aggressively than in the past and a few of her toys don't make it past a week.  Good thing that Bark has a choice on toughness with their toys, so I have upgraded her to something a little more rugged.  We will see if she's met her match!!",2022-02-28,0
Mollie de la Weenie’s Mom,4,2022-02-28,The toys did not hold up,"The toys did not hold up nowhere near as long as I thought they should. Mollie de la Weenie isn’t very hard on toys at all, so the fact that she’s done completely destroyed 3 of them? Makes me question the quality of the boxes at all???",2022-02-28,0
Blue & Red’s Owner,5,2022-02-28,We Loved Our First Bark Box,Blue (Great Pyrenees puppy) and Red (4 year old German Shepherd) were thrilled with the toys and the treats in the bark box! The crinkly toys are still their favorites.,2022-02-28,0
John McGhee,5,2022-02-28,Our puppy and our older dog love their…,Our puppy and our older dog love their bark box!! Great quality!! The older one is a chewer and has yet to destroy one of the toys.,2022-02-28,0
Abigail Slusher,3,2022-02-28,The box had some great items however my…,The box had some great items however my pup is only 2 months so the items were a bit clunky for her little mouth. We received the spa theme and it wasn’t the best for a little pup. The items were to heavy. She is a chewer as she is teething and we need durability but also appropriate for a 2 month old pup.,2022-02-28,0
Stacey Covington,4,2022-02-28,Lynx gets excited when he sees the box 😂🤔😂,My toy poodle Lynx gets so excited when he sees the box he knows it’s toys in it for him.  He’s a picky eater so the treats are hit or miss for us but other than that he loves his Bark box!!!,2022-02-28,0
J.R.,5,2022-02-28,I am a new subscriber to Bark Box and…,"I am a new subscriber to Bark Box and my American Pitbull Terrior Mix  Shay absolutely loves her toys and treats that come.

The staff is amazing and will help you as much as they can. If your dog isn't happy with a toy or treat they will ship out another one for your pup.

I have already recommended Bark Box to several of my friends and will Continue to do so on a daily basses.

As a Retired US Army Staff Sergeant my girl Shay is very special to me being my PTSD Service Dog. So o always want to make sure she has the best of everything and Bark Box helps make that happen.

So from Shay and myself we thank you for all your hard work. SHAY looks forward to her next Box 📦",2022-02-28,0
Destinee Hanson,5,2022-02-28,Love pretty much everything,My dog liked everything in the box. I liked everything in the box. Most of the toys were girl ones kinda wish they would have been for a male dog.,2022-02-28,0
Caleb Dugan,5,2022-02-26,Moose loves these!,Moose loves these!,2022-02-26,0
customer,5,2022-02-26,Amazing service,Extremely professional and friendly service. Support time is always quick to help and treats you amazing everytime,2022-02-26,0
Shelby,5,2022-02-26,Choose BarkBox,"BarkBox has been the best choice we made for our English bulldog. He loves the box every month and loves every toy in it! He has been getting this box since we brought him home but we wanted to make sure that when we had a baby that he would know he wasn't forgotten so we have continued his subscription! He knows it's for him as soon as it comes in the house and he gets beyond excited everytime. We know it makes him feel special and we love seeing all the creative themes per month provided by this box. Hulk also has allergies and BarkBox accommodates those in his treats! 
We would recommend BarkBox to anyone considering. It's definitely worth it!",2022-02-26,0
Sue Ellen Jeruzal,5,2022-02-26,Excellent     Ridley always loves his…,"Excellent     Ridley always loves his Bark Boxes!!! The treats and toys always make him so happy. Also, the customer service is ALWAYS on point and friendly!!",2022-02-26,0
Karen Weaver,5,2022-02-26,I love bark box and so does Remington,I love bark box and so does Remington. When we bring  a package in the house he has to check and see if it's his .,2022-02-26,0
JoAnne,4,2022-02-26,Duke enjoys his bark box,Duke enjoys his bark box.  The single treats are very enjoyable.  The little treats work sometimes.  He prefers something he can hold in his mouth and chew and eat.   The thicker heavier toys are not a favorite for him.  He does enjoy ‘bone’ like chew toys.  He also enjoys toys made of mor durable fabric that we can play tug with.  Thank you,2022-02-26,0
Tracy Dwyer Silva,5,2022-02-26,Amazing,Amazing! PJ absolutely loved her barkbox!,2022-02-26,0
B. H.,5,2022-02-26,Koda and Nala,"It was just as expected. And made my puppies, Nala and Koda, and I very happy. One thing I could suggest is; have the option to do a box for more than just one dog. I dont know if there is but I couldn’t find one so I just ordered one for on of my puppies and have them share it.",2022-02-26,0
VJA,5,2022-02-26,Great Product!,Shipping was fast (and I was kept up-to-date) and the product is amazing.  My dog loves the cookies and her breath was better in just a few days.,2022-02-26,0
Cristin,5,2022-02-26,Great company,Excellent customer service and communication,2022-02-26,0
Hertha Langdon,5,2022-02-26,Love the toy that my dog had to open…,Love the toy that my dog had to open and remove the toy to get his treats that I put inside. The treats were a great variety.  My blink camera still does not work. Every thing else  is very good.,2022-02-26,0
Lori,5,2022-02-26,Everything about The Bark Box Team is…,Everything about The Bark Box Team is wonderful,2022-02-26,0
Vanesa Zermeno,5,2022-02-26,My kids loved the Bark box Thank you so…,My kids loved the Bark box Thank you so much,2022-02-26,0
Daisy Golden Lab,5,2022-02-26,Daisy just loves her Bark Box when they…,Daisy just loves her Bark Box when they arrive.  Her toys are so durable as she is a chewer being she is a 85lb Golden Lab.  She loves all her treats but always wants more.  She says her Bark Boxes are Arfin great.  Daisy says Arf Arf,2022-02-26,0
Heather Kaiser,4,2022-02-26,I love bark box,I love bark box. The toys are so cute but that's all cute. My Buddy just turned 3. He is the biggest ham bone. And the only things he destroys is his own toys. Nothing seems to last long. I don't complain about it because he has fun plucking all the rubber toys and never tries to eat any of it but watches me clean up after him every time. He needs something to chew on that he can't destroy lol.,2022-02-26,0
Dolly G Greene,4,2022-02-26,Dolly G loved her first Barkbox,"Dolly G loved her first Barkbox. She loved the fabric of the 2 toys and enjoyed putting her nose in the envelope one. The treats were great. We were pleasantly surprised to find a toy in the bed we ordered!
Probably when the second box arrives she will get it that it is for her!",2022-02-26,0
Frances Guttemburg,5,2022-02-25,Excellent,Bark box is excellent,2022-02-25,0
Benita,4,2022-02-25,Loved the February box,"Loved the February box.  Definitely liked the free mini blink camera. Toys were cute my stella loved them, along with the treats.
I love how things are suited to her age and taste. I would like more chew toy options since stuffed toys get ripped up easily.",2022-02-25,0
Nita Long,5,2022-02-25,Shaggy loves all of his treats and toys!,"Shaggy loves all of his treats and toys! We look forward to receiving his bark box every month.
We would like more variety in the treats though but the toys are so creative and some downright hysterical!",2022-02-25,0
Emily,5,2022-02-25,Highly Recommend,My pup Ziggy and I absolutely love the monthly BarkBox! He gets so excited when he sees that box come through the front door! He loves the treats and toys! The treats are always safe and easy on his tummy! We highly recommend trying it out of you haven't yet! Your pup will thank you with lots of slobbery kisses ❤️,2022-02-25,0
Cocojo,5,2022-02-25,High Quality Items,Toys and treats are high quality. Respond quickly to any questions you may have and assist to get the right toys and/or treats that fits your dog's needs. So far I am pleased with this monthly service. My dog will look forward to receiving her monthly BarkBox.,2022-02-25,0
Suzanne Stilwell,5,2022-02-25,My dog Anna gets so excited when she…,My dog Anna gets so excited when she gets a new box ~ she loves the plush squeaky toys and yours are so durable she hardly ever destroys them unlike other toys she can destroy in 10 minutes ~ I also volunteer at a dog shelter & bring them toys often & they love them❤,2022-02-25,0
April,5,2022-02-25,Box was great!,Box was great!! Pup loved ever toy and enjoyed treats🙂,2022-02-25,0
Monique Turner,5,2022-02-26,Toy replacement,"They sent toys too big for my dog. I have a mighty mini super chewer. Small but destroys fast. They immediately offered multiple options to make it right. They were fast, polite, easy to understand and very agreeable. We always have a great experience with service and quality!!",2022-02-26,0
Angela Pereira,5,2022-02-26,Well worth the money!,"Bark box has high quality treats and unique toys customized for your dog. My dog looks forward to his bark box and loves the toys so much, he doesn’t know which one to play with first!",2022-02-26,0
Kimberly LaLone,5,2022-02-26,Excellent,We switched over to the super chewer box because Bonnie was getting bigger. Turns out she doesn’t enjoy the hard nylon toys too much. It was a simple conversation with one of the bark box employees and she had the box customized in no time. Bonnie always gets so excited whenever I bring the package inside because she knows it’s for her.,2022-02-26,0
Hazel,5,2022-02-26,Best customer service,Best customer service. Hazel says WooF for sending me such great interactive toys!,2022-02-26,0
Rose Turley,5,2022-02-26,Buttermilk loved each and every box.,Buttermilk loved each and every box.,2022-02-26,0
Michelle Frost,5,2022-02-26,Great service,"Great service, excellent surprises for my Tina, including healthy treats, a chew snack and 2 awesome squeaker toys! We are so happy as new members. 😀",2022-02-26,0
Michelle Urban,5,2022-02-26,BarkBox is A++++ all the way!,BarkBox is A++++ all the way!,2022-02-26,0
Frances Martinez,5,2022-02-26,Daisy Lynn loves her toys and treats,Daisy Lynn loves her toys and treats. If my granddog is happy then so am I. I call my son every month to see how Daisy Lynn loves her toys and treats and it's ALWAYS good.,2022-02-26,0
Consumer,5,2022-02-26,I have been with BARK for many years,I have been with BARK for many years. My furbabies love getting new toys. They know the box when it arrives. I can't  say enough good about BARK.  They care about their customers and the furbabies they serve.,2022-02-26,0
Susanne Dufek,5,2022-02-25,Pandora's box for dogs...love it so much!,"I have no complaints! Barkbox has the best Customer Service I have ever experienced. They truly look at your Feedback and actually get back at you without being asked, if you didn't like something 150% and try to make it right. I truly recommend it to any dog lover, that loves to treat their dog or dogs. It's fun to discover what's IN the box when it comes (I don't look at the spoiler email- I want to be surprised, too) AND I swear, my Annie knows what the Barkbox looks like when it arrives.",2022-02-25,0
Sandra,5,2022-02-25,Loved the box Igot,Loved the box I got. My dog loved the treats and the toys!!! Can't wait to see what next month will bring.,2022-02-25,0
Lynn ,5,2022-02-25,How do I keep my 3 dogs Happy?,How do I keep my 3 dogs extra happy and spoiled?  BARK Boxes!  The toys are clever and creative and most of them survive 3super-chewers whose mission in life is to shred every toy in their path.  The treats are always a huge hit…I only wish I could buy extra large bags of some of the jerky treats!  The only thing that could possibly make Bark Boxes better in the eyes of my dogs would be weekly deliveries!,2022-02-25,0
Amanda,5,2022-02-25,Bark box is the best thing to happen to my dog (and me),"Bark box is the only place I’ll buy my subscription from.  They are incredibly thoughtful and have responded to every question and concern I’ve ever brought up to them.  

I love the toys almost as much as my dog does.  I look forward to every new box and I feel like they are an ethically conscious company, which is extremely important to me. 

There’s so many different toys and themes to choose from and they allow me to switch up my needs as I see fit.  Which is incredible. $30 a month for a box of guaranteed happiness is more than a deal for this household.",2022-02-25,0
Byron Morrow,5,2022-02-25,Great toys,Great toys. Great treats. Fun box!,2022-02-25,0
Christy Fleming,5,2022-02-25,My dog Nash loves getting his BarkBox…,My dog Nash loves getting his BarkBox every month. The toys have been perfect for his size and he loves the treats.,2022-02-25,0
Wendy Perriman,5,2022-02-25,Happy to have joined!,Love all the box we received. Bella has played with all her toys and loves the treats. Customer service is awesome.,2022-02-25,0
Brandi Lauckhart,5,2022-02-25,Friendly and very helpful as always!,Friendly and very helpful as always!,2022-02-25,0
Lisa Strickler,5,2022-02-25,Tanner LOVED his toys when the box…,"Tanner LOVED his toys when the box arrived, and continues to bring them to his comfy bed! I'm so happy Barkbox could lift his spirits when his accomplice passed three weeks ago..😪 Thank you!",2022-02-25,0
Rebecca Miller,5,2022-02-25,My dog loves getting his monthly box,"My dog loves getting his monthly box! We haven't received a treat he doesn't like. He loves the toys that squeak, not so much the ones that don't; but the ones he doesn't like are given to my friends that have pups that love them!",2022-02-25,0
Charlie Martin,4,2022-02-25,The interaction was helpful,"The interaction was helpful. We needed to pause our subscription for a month, Barkbox made it possible. My ONLY complaint is that there isn't an option to pause subscriptions on the website.",2022-02-25,0
Nickie,5,2022-02-25,Holly has loved every bark box she has…,"Holly has loved every bark box she has received, along with my son's dog.  I was recently out of town when the last box was delivered.  My son is very interested in getting it for his dog after seeing the reaction of both dogs when he opened the box and showed them the new toys.",2022-02-25,0
Deborah Mc,5,2022-02-25,Consistently excellent,Consistently excellent. Our dogs love the toys and treats. Customer service is terrific. Definitely recommend.,2022-02-25,0
Visitor,5,2022-02-25,Jack and I look forward to his Barkbox…,"Jack and I look forward to his Barkbox every month. I love the fact that the treats are natural and he loves his new toys every month. Any time I had a problem, they have always been quick to respond.",2022-02-25,0
Customer,5,2022-02-25,Victor Loved it,Victor Loved it! Only downside….how many times I’ve been asked to review the products after I already did. 😑🤔🥸 thank you,2022-02-25,0
Audrea Frost,5,2022-02-25,BarkBox is wonderful,"BarkBox is wonderful, our dog loves getting his monthly surprises. My sweet German Shepard Thor is a ""super chewer"" and can chew through almost anything. He has done so good with the super chewer box from BarBox. I like that we get to try different treats and toys and find what he likes and does not like and what is tough enough for him. Barkbox has amazing customer service as well, always  wanting to help make you and your pup happy. We love BarkBox!",2022-02-25,0
Megan Dodd,5,2022-02-24,"Great value and quality, excellent customer service","This is my first time using any sort of subscription for pet supplies. I was suspicious at first, especially since my dogs are notorious for destroying toys. I was pleasantly surprised with high quality products personalized to my pets. Definitely a great value for the money you spend on the subscription, because quality toys are not cheap these days! I also contacted them after receiving the first box, to request no solid nylon items since my dog is older and has some cracked teeth. Their customer service is by far the best I have ever experienced, made it super easy to add that personal note to her account, and even included extra free goodies to make up for the toy she couldn't use. I am very impressed with this company and 100% reccomend them.",2022-02-24,0
Emily Lysen,5,2022-02-24,Love the crinkly cake so much,"Love the crinkly cake so much! This has been a massive hit!
The cookie and cookie bag are also super popular! I hadn’t gotten anything crinkly for my doggo just yet and he’s loving these! My only piece of advice would be to send more chew sticks to fit in the bottom of the cookie bag because they’re hard to get out (and hilarious to watch).
Bark box was a gift for us and so fun!",2022-02-24,0
