Name,Stars,Date,Title,Description,Helpful,Not_Helpful
Victoriah V.,5,2023-05-15,Happy puppy - happy Mom,"We switched her from her breeders food about two weeks after we brought her home and im so glad we switched her to the barkbox bully food. My American Staffordshire Terrier, has had no skin issues since. No dryness, no dandruff, no excess shedding. Hubby even says her coat looks alot better, shes now loves bath time!!",0,0
Rebecca Van O.,5,2023-05-12,Picky eaters love it!!,My dogs love it even with fish ingredient ,0,0
Lisa B.,5,2023-05-01,Great dog food ,Jelly Bean just loves her dog food.,1,0
Christina S.,5,2023-04-28,Great food,"Nala lives this dog food and after eating it a couple months, I have noticed her fur is shinier and softer. Not rough and ""prickly"" like put hair feels",3,0
Alexa D.,5,2023-04-25,Dogs gobble it down ,"My dogs happily eat eat serving

I mixed 2 types (Turkey & Fish )",1,0
Cheryl W.,5,2023-07-13,Ladybug’s Favorite!,Ladybug loves to have these sprinkled on her food. Sometimes she tries to pick them off delicately and leave her food behind!!,0,0
Rhonda W.,5,2023-07-09,love these,My basset hound puppy loves them!  you get a lot in the packages and they are easy to break into smaller pieces!  Great deal!  ,0,0
Sam W.,5,2023-07-07,Picky eater loves these treata,"My 12 lb shih tzu is PICKY… but I’ve found if I crumble these on his food, he eats!!! Win win for both of us!",0,0
Jerrie M.,5,2023-07-06,Loves them. ,Loves them will order more.  ,0,0
Toi M.,5,2023-07-05,Very goid,Loves it,0,0
Ashley M.,5,2023-06-30,Amazing,Should make these into a food topper. My dog won’t eat her food without these on top. ,0,0
Anne F.,5,2023-06-29,Treats,Our pup loves these and was very excited to get more🥰,0,0
Jemma T.,5,2023-06-29,BEST TREAT EVER!!!!,My Grand-dog and my cat LOVE these little yummy  treats!!,0,0
Nicole R.,5,2023-06-24,A favorite! ,"We canceled our barkbox because we had an abundance of toys! Shortly after we ran out of treats and I tried to buy another brand from the store but they made our dogs very sick. I will never again buy another brand, barkbox treats are the best! They have the best ingredients and our dogs love them! ",0,0
Jessica C.,5,2023-06-23,My boy loves these!,These are great for training! My boy goes crazy for them!,0,0
Trudy Y.,5,2023-05-11,My dachshund LOVES this,Excellent food for picky eaters ,0,0
Laura W.,5,2023-05-06,Great taste,El toro loves this!!! ,0,0
Danielle S.,5,2023-05-04,Small bites and tasty,They loved it!,0,0
Lynn R.,5,2023-05-02,Puppie love it ,Are dog love it ,0,0
Adria L.,5,2023-04-29,Can't get enough!,"Don't know why, but my babies LOVE this food.  Especially since the size is just right for them.  It must be super tasty because they push aside the wet food just to find these crispy little nuggets.  It's so tasty, they have convinced me that I need to buy more!  Guess I'll be adjusting my Bark Food order very soon.",0,0
Donna H.,5,2023-07-09,Jaws is out of the water!,"I really like this toy bc the mouth is larger and it’s not such a job for my girls to get the treat out. They still have to work at getting it out but it’s not so long that they give up and leave it laying! 
This thing is awesome! Should’ve gotten 2!",0,0
Alyxx B.,5,2023-03-22,Shark week!,"The shark is high value!!! The chicken bits also, and the oink sticks were a hit. ",0,0
Mike N.,5,2023-02-17,Long lasting fun,The toy is a little big for our guy (20lbs & devastatingly handsome) but trying to pull the treats from the shark’s jaws keeps him entertained for quite ahwile. Love these toy & treat combos!,1,0
Claire N.,4,2023-03-24,Didn't hold any treats,Hope loved the treats - but the puzzle was huge and the treats just poured out as well as  being too big for her to pick up.,1,0
Liz S.,4,2023-03-17,Paw n' jaw,It was awesome!,0,0
Linda G.,4,2023-03-17,We both love treat-dispensing toys.,"A challenge with this treat-dispensing toy is that her dry food pieces fall out too easily, so not much of a challenge for her; and, the jerky nibbles treat that came with the toy are too big around to come out of the toy without the use of a tool by me. Maybe we'll get the hang of this one yet!",1,0
Thania M.,3,2023-03-08,Loved the toy not so much all the treats,Colonel loved the toy and the Oinky jerky sticks but he did not like the chicken lickin treats at all! Any chance we can get more oinky treats instead?,0,0
Mary L.,2,2023-05-23,Too Big,Love the concept but a large was sent weighing almost as much as LuLu (she is only 12lbs). Customer Service sent a replacement toy for the size mistake. ,0,0
Patti H.,5,2023-04-22,Lovin' it!,Our 18 mo. old standard Goldendoodle loves her food!  ,0,0
Emily W.,5,2023-04-21,Cock- a -doodle chew,Loved it!!,0,0
Cindy S.,5,2023-04-20,Auggie's New Food,Auggie Doggie likes it a lot. He just had a cracked tooth extracted so no crunchy food for awhile. But before the procedure I added a small amount with his regular food and he dug right in. He will be glad to be back to his regularly scheduled feed.,1,0
Crystal Y.,5,2023-04-15,Griff loved his new food💛💛💛💛💛,Great Food…Griffin licks the bowl clean…,0,0
Kirstin G.,5,2023-04-14,Tucker my Labradoodle LOVES this food,Tucker used to never finish his previous dog food. We switched to Cock-a-Doodle Chew for Doodles and he doesn't take a breath! He loves it especially with the liver flavored powder on top! Very happy! Tucker has more energy and his coat looks great.,0,0
Corey J.,5,2023-07-05,5 stars,It is worth the buy. My dogs love it so very much,1,0
Alissa O.,5,2023-07-05,Both dogs love it,Both picky eaters and they will eat their food if I sprinkle Bada Bing! Bada Beef! Dog food topper on their food.,0,0
Karen G.,5,2023-07-05,They love it,They love it!,0,0
Cindy C.,5,2023-07-03,Great,"So easy to use,and my puppy loves his food now!!!!",1,0
Cliff J.,5,2023-06-29,Food Topper Bada Beef,My pup loves this topper!!,2,1
Heather S.,5,2023-06-21,Food,Have a super picky and sensitive German shepherd and he absolute loves this food and is digesting it all very well! Have always struggled to find food that doesn’t upset him and this is it. Will continue to buy 😃,2,0
Christine M.,5,2023-06-21,Rue loves it!!!,This food has been such a good change for my dog. She eats it up. Her energy level is up. She just seems all around better.,2,0
Elisa H.,5,2023-06-19,Buck Buck Buck best ever,I have been feeding my pack Bark Food for a while now so when my adult daughter said her golden had a meh attitude towards every food she tried I sent her this food. Finn now is an enthusiastic eater. Thank you Bark for saving the day.,1,0
Angie C.,5,2023-06-16,"He’s not picky, but still","I’m stoked to switch to BARK food for my Cirrus. The ingredients are better than what he was eating, and he seems to stay fuller in between meals. Anything to make him happier and live longer!",1,0
Alexis L.,5,2023-06-14,The best! ,"I have a German Shepard husky mix that has been on expensive prescription only food for the last two years. When I saw the ingredients of this, I thought we would give it a try and thankfully it was a perfect fit! Better ingredients than the prescription, half the price, and every one is happy! Thank you guys for making the best for the best! ",2,0
Jenn K.,2,2023-05-22,Not sure,"I'm still in process of mixing her old food onto transition of this food. It's not going super great. She definitely does not love it. She literally will only eat a few bites out of my hand, then she's over it.",0,0
Melissa P.,2,2023-01-19,Nope,"My boys will not eat this for some reason. I
",1,2
Shannen M.,1,2023-06-19,Sunny won't eat it,"I was very hopeful that my picky pup would eat this based on reviews, but he won't touch it. Bummer.",0,0
Jennifer S.,1,2023-05-30,:-(,Sadly my dog refused to eat it. ,0,1
Alyxx B.,5,2023-06-13,He loves this! And better poops!,"Max doesn't like it as a broth, like not at all.  He LOVES it as a powder topper on his supper, and it has made his poop so much firmer!",0,0
Cathie G.,5,2023-05-31,Pumpkin topper,"Smells so good, dogs LOVE IT!!",1,0
Gail C.,5,2023-04-30,Love pumpkin spice topper!,My dog loves it and I use it mixed with yogurt & freeze it -- I rely on this to keep her happily occupied.  Wondering when it's going to be available again -- it's been out of stock for awhile now.  Thanks!,1,1
Shannon E R.,5,2023-04-12,An instant favorite,Jake and Lucy attacked the jar the minute I opened it!  Once it was reconstituted and mixed into their food I had two little vacuum cleaner puppies...  What a tasty smelling topper for a Sunday brunch treat for the pups.  A 5 star win for sure!,0,0
maria s.,5,2023-03-30,Great topper or treat,"I used some as a meal topper, and mixed some with water and he loves it both ways.",0,0
Cathy T.,5,2023-07-12,Dental Kit,"So far, so good.",1,0
Dana M.,5,2023-07-05,Rocky Approves! ,"Super easy to use, and smells so fresh and minty! 
Amazing for the super chewers and definitely starting to see the improvements’",2,0
Kathy R.,5,2023-06-17,So happy !,"In just a week , I already see an improvement on my boys' back teeth.  I'm totally pleased. Would recommend this product for sure.",0,0
Kathryn P.,5,2023-06-13,Impressive results,I used the regular dental sticks for my golden doodle for 2 months and finally tried the Durable sticks and have seen amazing results in just one week. Will definitely keep buying. Photos are March vs now ,6,0
Lydia H.,5,2023-05-31,Great,Dog loves! And his breath smells so much better,0,0
Kimberly S.,5,2023-05-30,Works great,My dogs love these and I can see how white their teeth are!,0,1
Alyssa F.,5,2023-05-12,No more puppy breath!,Makes my pups breath super fresh!,0,1
Julie H.,5,2023-05-06,Dental chews ,Just received them but so far so good. Dogs seem to love them and breath is better.  ,0,0
callie r.,5,2023-05-02,Doggo loves it!,Doggo loves the chew and the tooth paste. Very convenient since he doesn't like a tooth brush very much. ,0,0
Alison D.,5,2023-04-28,Wrigley ,It’s a treat and keeps his mouth Fresh ,0,0
Alyxx B.,5,2023-03-20,Tiny kibbles - great taste!,"Max really likes this kibble. So many of the others we tried (introducing gradually, doing it all right) gave him an upset tummy - this one didn't. He eats it as kibble, plus enjoys it as part of his activity toys. If he has any complaints, it is just that the kibs are so LITTLE....but then, he's a 9 month old shepherd, so maybe it is just that his mouth is so BIG",0,0
Jason H.,5,2023-03-18,Our girl loves it,Our dachshund pup loves this food! She scarfs it down and the price is very fair!,0,0
Steph T.,5,2023-03-16,Love it!,My Runa absolutely loves this food!,0,0
Alan H.,5,2023-03-09,While not a Shepherd....,"Apollo is a Norwegian Elkhound, and of the foods available this was the closest to his breed. In the past my Elkhounds would eat anything and everything without any problems...Apollo is super sensitive to what he eats and so far he keeps it down. ",0,0
Josette B.,5,2023-02-28,Love the food ,My fur baby loves it ,0,0
Tammy M.,5,2023-07-15,yum,Emma is in love her daily toothbrush ,0,0
SHARI REGENBOGEN R.,5,2023-07-10,My dog LOVES these,"We ordered the Medium for my 22 lb dog - he knows the sound of the Bark Tin we keep them in and comes running when he hears it opening.
The vet has complimented his teeth since using the Bark Brights too.",1,0
Sarah B.,5,2023-06-30,Great dental treats,"My elderly dog has some nasty breath and teeth. These treats smell amazing and he loves them. I’m not expecting a miracle, but his teeth already look a bit better and he absolutely loves them. ",1,0
Kathy M.,5,2023-06-29,Dental kit ,Annie loves them ❤️  it's only been a week so cannot comment on change yet,1,0
kelli B.,5,2023-06-25,Vet says yes and so do we!,"This is our second round with the Dental Kit with our pups, vet and ourselves loving the results for our Annie and Macey. So easy to give and our vet says both of our pups dental hygiene is proving to be working. Thank you so much!",1,0
Allison A.,5,2023-06-23,Loved them,My dog loved them and he never eats treats that are hard. I  hoping that it helps with his breath and tartar build up.,1,0
Kathrin R.,5,2023-06-20,Our dog is obsessed!!! ,We give this to our pup as a reward after his daily tooth brushing and he goes absolutely nuts for it. He will not go to bed if he hasn't had his tooth treat. Please never stop selling these!,0,0
Meagan H.,5,2023-06-15,Our dogs go nuts for these! ,We love that these keep them busy for a minute and help clean their teeth! ,0,0
Erin T.,5,2023-06-14,My doggo has a OBSESSED! ,"First of all, his horrendous breath smells better day 1. But also; he is OBSESSED! Every time I break the bag out he starts to wimper and bark. He’s always ever just sat down for a treat but he truly goes nuts now! ",1,0
Matthew H.,5,2023-06-14,Lip Lickin Good and Cleans Teeth! ,My frenchie looks forward to this dental treat every day.  As soon as she sees it she starts licking her lips. Her vet commented on how nice her teeth were last vet visit. I said its because of Bark Bright Tooth Paste! Amazing product. Works wonders! Subscribed!,0,0
Alexa D.,5,2023-04-25,Dogs gobble it down ,"My dogs happily eat eat serving

I mixed 2 types (Turkey & Fish )",1,0
Holly H.,5,2023-04-24,Loves His New Kibble ,Trying to get my pup to move over to the new food and still adding his old kibble; he won't have any of that old stuff.  He LOVES his new kibble!,0,0
Tina S.,5,2023-04-24,They love it!,Both of my pitties love it. ,2,0
Megan M.,5,2023-04-21,LOVES HIS FOOD,"Tank was going through a period where he was bored of his kibble and was not eating, but ever since switching to Bark Box Boxer food, he loves eating and enjoys every single bite! He is going to be 6 May 15th, so his eating has slowed a lot since being a puppy, and I love seeing and hearing him crunch away at his food. He is the happiest boy and I am so happy that he is enjoying his food :)",0,0
Cody A.,5,2023-04-20,Switched to Bark!,My shorty bull has liked the transition so far!,0,0
Jennifer H.,5,2023-07-09,Pretty sure these work,"My dog enjoys these, and I’m pretty sure his teeth look better.",0,0
Gary M.,5,2023-07-04,Great product!,My bulldog loves this chew and it already freshened his breath as well!  Will give him one weekly and see what it does for his teeth! ,0,1
"Lugo, J.",5,2023-07-02,Love them!,My kids love these chews!!,0,0
Amy F.,5,2023-06-10,We subscribed to insure we always have them!,"Ace loves these, so I subscribed to be sure I'll never run out.",0,0
Joy R.,5,2023-05-04,A good choice,"Both my dogs enjoy these. They don't take as long for them to chew through as another brand, but our senior dog likes them better. We also appreciate that there is no chicken or beef since our English Setter is allergic to them. ",0,1
Michelle D.,5,2023-04-26,Dental chews,My dogs loved them!,0,0
karen k s.,5,2023-04-26,Chews,They liked them,0,0
Terry S.,5,2023-04-19,Longer lasting,"My dog really enjoyed these chews. They last far long than Greenies which she devours in 2 bites, so I doubt she gets and teeth cleaning action.",0,0
Helen S.,5,2023-03-29,Dogs went crazy before the box was open.,They love them. Highly recommend them 👌. ,0,0
Kimberly I.,5,2023-03-04,My dogs love these durable dental chews!,"I have 2 female golden retrievers, and one is an extremely picky eater.  She loves these chews.  I love the subtle smell. 
These chews will be part of their oral care for the long-run.",0,0
Adria L.,5,2023-04-29,Can't get enough!,"Don't know why, but my babies LOVE this food.  Especially since the size is just right for them.  It must be super tasty because they push aside the wet food just to find these crispy little nuggets.  It's so tasty, they have convinced me that I need to buy more!  Guess I'll be adjusting my Bark Food order very soon.",0,0
Elizabeth V.,5,2023-04-21,Made a Frenchie happy,"I was a bit scared to get rocky on a new food but, he loved the chicken and brown rice and the size of the kibbles are perfect for him. He was able to eat so much easier than the other dog food he was eating prior. ",0,0
Betty M.,5,2023-04-20,Mia & Max ,After i could finlly get her to eat it she really liked it and her brother as well  ,0,0
Elizabeth S.,5,2023-04-17,So far the puppies are enjoying the food,So far Beau and Bella are adjusting to the food switch,0,0
Carol R.,5,2023-04-17,Perfect size,"Chica loves small bites, even though she is a larger dog, with regard to her dry food.  Perfect size since we feed wet and dry together which is dog preferred/dog approved.",1,0
Pam F.,5,2023-07-11,My pups love these dental chews!,Great treat for my 2 Great Pyrenees! ,0,0
Kim P.,5,2023-07-09,Loves!!,Stella loves these dental chews!!!,0,0
Charlene P.,5,2023-07-04,Best ever!!,"Our Shih Tzu pups LOVE these. We give them as a bed time treat and they go nuts when the bag rattles.  One of the girls has always had horrible breath, she’s a rescue,  around 4 years old, and we have noticed an improvement. The other is a puppy, 11 months old, and thinks these are the holy grail! They were recommended by a friend whose vet was amazed at their 7 year old Golden’s teeth. He asked how often they brushed his teeth. They told him never, they give him these. The vet could not believe it and said “Well don’t stop!”  So now their newest Golden is on them too. ",0,0
Alexandra H.,5,2023-07-01,My Dogs ❤️❤️❤️ these treats!!,I think these treats are awesome! I wasn't really sure that these were that different from other treats like Greenies or other brands but they are! They even smell better! I am happy that they keep my dogs teeth looking healthy and strong and are not one that I have to fight with them to eat. I'm sure even the pickiest pets will love these!,0,0
Kathryn Savage K.,5,2023-06-21,So yummy! 😋,My dog loves these dental treats. It is the only chew that actually removes tartar. ,0,0
Barbara H.,5,2023-06-21,Dog owner of Maddy,They were good,0,0
Irene B.,5,2023-06-13,My dog INSISTS on these.,Sammi loves these and wont take 'substitute brands'. Its not a good day if  she cant brush her teeth with Bark Bright. BUT.. she dislikes the paste.,0,0
Tina T.,5,2023-06-12,Great,Pup loves,0,1
Mark R.,5,2023-06-03,Bright dental chews,My dog will only eat these dental chews. I'm glad I found these without having to buy a full Bark box.,1,0
Lauren M.,5,2023-05-31,Best. Ever. ,"My little Norman, 12 lb Cavapoo, has horrible GI issues and has never had any treat that he could / can enjoy until Bark!! Best products ",2,0
Kirstin G.,5,2023-04-14,Tucker my Labradoodle LOVES this food,Tucker used to never finish his previous dog food. We switched to Cock-a-Doodle Chew for Doodles and he doesn't take a breath! He loves it especially with the liver flavored powder on top! Very happy! Tucker has more energy and his coat looks great.,0,0
jane f.,5,2023-04-13,dog food,"All three dogs love it, and one is picky.",0,0
Halliday K.,5,2023-04-13,Food,"Our dog loves this flavor. We also got a slow feeder. Before, she want inhale her good in seconds. Now she eats more slowly and actually chews ( a little). ",0,0
donna s.,5,2023-04-13,Kido,They still love this one too!!,0,0
Gail J.,5,2023-04-07,Great food!,"My dog loves it and looks great too!! He's not a picky eater but tends to put on a little extra weight on other food we've tried, with this he has his figure back lol. So glad we found this food!!",0,0
Richard B.,5,2023-06-23,Bright teeth,Great for dogs teeth,0,0
Joy G.,5,2023-06-06,My doggies love this toothpaste!,"Helps keep their teeth clean!
",0,0
Donna A.,5,2023-05-05,Bright Toothpaste Really Works!,When I rescued my 1 and 1/2 year-old Lab/Staffy she came to me with teeth that had obviously not been brushed and had tarter forming. I was recommended to find triple enzyme toothpaste. I began to brush my dogs teeth every morning after breakfast and her teeth never been whiter. This whitening is far beyond my expectation in just two years. I am thrilled.,0,0
Melissa S.,5,2023-05-03,Dog approved,My dog likes it!,0,0
Michelle D.,5,2023-04-26,Bright toothpaste ,My dogs loved the taste!,0,0
Alexa D.,5,2023-04-25,Teeth look much improved ,Dogs happily eat their dental and their teeth snd breath are much improved! Gums look healthy,0,0
Gary H.,5,2023-04-11,Piper’s teeth,The product has removed all the tartar from her teeth and her gums have improved.  Piper is an 8 yr old Corgi.  ,1,0
Nafees C.,1,2023-06-16,toothpaste,did not like it at all,0,0
Cliff J.,5,2023-06-29,Food Topper Bada Beef,My pup loves this topper!!,2,1
Carol V.,5,2023-06-28,Bada Gone!!!,My dog won’t stop eating now until it’s gone! She’s crazy over these toppers!!,2,0
Abel M.,5,2023-06-28,Cherry on top,"My dog waits until she gets her special sprinkles on top
",3,0
Kerri F.,5,2023-06-24,Senior dog loves it,"My 19 year-old Lab has gotten to a place where he won’t eat fry dog food. Instead, he wants people food. I do indulge him occasionally, but the food toppers have made a difference in his appetite for kibble. If you have an elderly pet that’s getting picky, try this product!",6,0
Sherri G.,5,2023-06-23,Where’s the Beef? Here’s the BEEF!!!,My dog was transitioning between foods. She would pick out the old food and eat it and leave all the new food. As soon as we put the bada bing by the beef on top of her food she would eat everything. Thanks for the great product.,6,1
Donna H.,5,2023-07-09,Awesome toy,"Another fave at the house 
They love digging for the treats",0,0
maria s.,5,2023-03-30,Fun Puzzle,He loves the puzzle...but make sure they're small pieces or they won't come out. hahah we learned that the hard way.,1,0
Rachel H.,5,2023-03-28,Held up to serious chomping,This treat dispenser has held up to being dropped from the couch repeatedly and chomped by my husky. He loves it. ,1,0
Linda G.,5,2023-03-23,Great way to encourage her to eat her kibble!,She is enjoying having her kibble handy and making it fun at the same time.,0,0
Samantha H.,5,2023-03-07,Wobble Gobble Treat Bundle ,My dog loves these treats! And she enjoys throwing the treat dispenser around the house to get at her goodies!,1,0
Raquel C.,5,2023-02-24,MY GERMAN SHEPARD LOVED THIS!,Smokey is not a fan of treats so it's tough finding things to reward him with. He loved these treats tho! He worked that toy for hours looking for that reward. This is a good choice for heavy chewers and a plus for us that he really liked the treat. I'd recommend this one. ,0,0
Rhonda W.,4,2023-07-09,wish the hole was bigger,I love the design and the quality of this but honestly there is one hole and it's about the size of a pea..  other than kibble I am not sure what i could stuff in it.. kinda disappointed because I do love the quality of it.. ,0,0
ariel h.,3,2023-04-26,Good product,This is actually a good product but my dog just didn’t enjoy it!,0,0
Kelly B.,3,2023-03-25,Awesome toy/treats!,The puzzle toy is much bigger than I expected! I have Shih-Tzu’s and this toy is for a much larger breed of dog! They love the treats though! I’ll have to give the toy to a friend with a bigger dog!,0,0
Dorothy C.,3,2023-03-14,Review,The treats are great. The puzzle toy too small for Lunas food or treats,0,0
Alexis L.,5,2023-06-14,The best! ,"I have a German Shepard husky mix that has been on expensive prescription only food for the last two years. When I saw the ingredients of this, I thought we would give it a try and thankfully it was a perfect fit! Better ingredients than the prescription, half the price, and every one is happy! Thank you guys for making the best for the best! ",2,0
Lawrence S.,5,2023-06-14,Awesome Food my boxer Loves it!,Awesome Food my boxer Loves it!,0,0
Babs G.,5,2023-06-13,My dog loved these chicken treats ,Dakota loved these treats mixed in his food. ,1,2
Maryann P.,5,2023-06-12,Bob loved em.,He loved them in fact he was not pleased when they were gone.,0,1
Laurie C.,5,2023-06-06,Laurie ,Dogs love them ❤️ ,0,0
maria s.,5,2023-03-30,Great topper or treat,"I used some as a meal topper, and mixed some with water and he loves it both ways.",0,0
Karis D.,5,2023-03-28,Would definitely buy again!,"This smells soooo good, and my dog loves it too! I'm glad we found this. ",0,0
Nathan P.,5,2023-03-27,Finally Got My Puppy To Eat,I'm not sure if Thea was just tired of her food or what but making the Pumpkin Spice Topper into a thin gravy was the trick needed to get her to eat. ,0,0
Lindsey G.,5,2023-03-26,Doggos love this! ,Great treat if you freeze it! Should have bought more than 1! ,0,0
Jessica L.,5,2023-03-26,Pumpkin treat,Froze it and served it as a treat both of my dogs lived it!!!,0,0
Josette B.,5,2023-02-28,Love the food ,My fur baby loves it ,0,0
Deborah B.,5,2023-02-28,So far so good,Chewbacca seems to really like little buddy bites. We have been through several brands that he turns his nose at after one or two meals.,0,0
Roger & Chrystal R.,5,2023-02-28,He loves it,It's healthy and filling for him thanks so much for helping me find it for him,0,0
Josette B.,5,2023-02-05,Best Ever!! ,Both doggies love BARK !!!! ,0,0
Kesha Z.,5,2023-01-20,My dog loves this food!,"I love that I can feel good giving my dog this food and he loves  every bite! I’ve noticed a huge increase in the shine of his beautiful coat since swapping to this brand several months ago, and that definitely goes to show that good food makes a difference in your pet. ",0,0
Cody A.,5,2023-04-20,Switched to Bark!,My shorty bull has liked the transition so far!,0,0
Lisa K.,5,2023-04-17,My girl likes it,My dog likes this food and enthusiastically eats it. ,0,0
Tammy W.,5,2023-04-17,He liked it!,"We just started mixing it with his Boxer Royal Canine- he really seems to like it, and I am happy to see that it doesn’t blow up when it gets wet, which I suspect was happening in Bean’s stomach with the royal canine and then causing him to vomit from overeating. We give it a thumbs up!",0,0
amber k.,5,2023-04-16,Loves it,Wonderful,0,0
ALLEN B.,5,2023-04-15,Best dog food ,"Best dog food! Sabine was on science diet for about 4 months and let’s just say it didn’t agree w her. I tried a few others before Bark. And I won’t feed her anything else! She loves it! And sits and waits till I refill, even if she’s done. Thank you for great food and toys! ",0,0
Carol R.,5,2023-04-17,Perfect size,"Chica loves small bites, even though she is a larger dog, with regard to her dry food.  Perfect size since we feed wet and dry together which is dog preferred/dog approved.",1,0
Pamela V.,5,2023-04-13,He seems to love!,"We are just adding a little at a time, but he wolfs it down!",1,0
Michelle R.,5,2023-04-09,Picky likes Itty-Bitty Chicky,"Jack hates weird things - cacti, cookie like treats, and every other dog food I’ve given him.  I tried out IBC and, miraculously, he liked it. FYI Jack loves nothing but his blanket, the sound of his own bark, and me. Liking is HUGE here! So thank you, Bark! You’ve made my bossy little man’s picky palette very happy!",0,0
Rogers C.,5,2023-03-31,My Chi Wee loves this!,"My 14 year old Chihuahua is a finicky eater.  She devours this food and my Lab won’t eat his food unless I put a little in his bowl, too.  Thank you, Bark for this wonderful addition to our feeding routine. ",3,0
Angel B.,5,2023-03-29,Itty-Bitty Chicky,Nico loves it! I mixed it with his old food and he picked out the itty- bitty chicky! He’s extremely picky so I was very happy!,1,0
Gail J.,5,2023-04-07,Great food!,"My dog loves it and looks great too!! He's not a picky eater but tends to put on a little extra weight on other food we've tried, with this he has his figure back lol. So glad we found this food!!",0,0
Judy P.,5,2023-04-05,Best food ever ,Love this food my moms beagle is eating also and it has helped  him move so much better gets up and down easier now great food for you dogs ,1,0
Ann L.,5,2023-04-04,"Great, happy dogs!","My older, plump (ok, a little more than plump) lab who we just can't seem to get weight off of, loves this food!  In fairness, she likes all food, but she is happier and more energetic after the first bag (and yes, not all at once!).  Can't really report on the weight effect, but a happy dog is a good thing.

",0,0
laura H.,5,2023-04-04,Tank loves this stuff!!!,My 10 year old 90 pound lab dances when he sees me getting his food out!   He loves it! ❤️ ,0,0
Lisa V.,5,2023-04-04,Fantastic!,Amazing! My dogs love the food. Noticeable change in their fur and energy ,0,0
Sherri G.,5,2023-06-23,Where’s the Beef? Here’s the BEEF!!!,My dog was transitioning between foods. She would pick out the old food and eat it and leave all the new food. As soon as we put the bada bing by the beef on top of her food she would eat everything. Thanks for the great product.,6,1
Barbara H.,5,2023-06-21,Dog owner of Maddy,It has made my dogs start eating their dry food again ,2,0
Kathy F.,5,2023-06-19,Perfect starter!,They stand by their food dish and stare at me till I sprinkle it on their food. They have me trained well!,2,0
Carole P.,5,2023-06-17,Our Cavalier loves Bada Bing Beef,"Our Cavalier started refusing her dry kibble, but with Bada Bing or Moo Moo Sprinkles on it,she is an enthusiastic eater again.",1,0
Taffy B.,5,2023-06-16,Loves it,Both of my pups love this in the evening on their meals ,1,0
Laurie C.,5,2023-06-06,Laurie ,Dogs love them ❤️ ,0,0
Teresa C.,5,2023-05-28,Picky Dog 🐕,"I am sure the dog food is really good, that being said I have the most picky dog in the world. She would not eat it even with the topper. I did give it to my neighbors and their dogs loved it.",0,0
Denise M.,5,2023-05-27,Winston Furchill loves his new food!!,Excellent!!!,0,0
Amanda T.,5,2023-05-25,Great stuff!,My guy LOVES this food. He is a VERY picky eater but he literally drools for this food when it is breakfast and dinner time.,0,0
Christina A.,5,2023-05-15,Worth the money!,"Brigid loves her new food, and I don't worry about it being healthy. I know she's getting everything she needs and nothing extra!",0,0
Jessica L.,5,2023-03-26,Pumpkin treat,Froze it and served it as a treat both of my dogs lived it!!!,0,0
Heather W.,5,2023-03-25,Love ,Loved it ,0,0
Brianna G.,5,2023-03-24,wow,"my dog loves this!! whether it’s sprinkled onto his food or mixed with water for a frozen treat, he goes crazy over this stuff",0,0
Deborah F.,5,2023-03-17,LaChaim Zoe happy Meal,"LaChaim Zoe loved the Pumpkin Spice…added to the Boxer food nibbles from Bark.com

Thank you!",0,0
debra g.,5,2023-03-07,Pumpkin spice topper,Penny loves it!,0,0
Kesha Z.,5,2023-01-20,My dog loves this food!,"I love that I can feel good giving my dog this food and he loves  every bite! I’ve noticed a huge increase in the shine of his beautiful coat since swapping to this brand several months ago, and that definitely goes to show that good food makes a difference in your pet. ",0,0
Jason C.,5,2023-01-20,Wonderful Bites,Zilla Bear loves her new food. Her stomach has been handling it quite well. It is evident that these bites were made appropriately and precisely for Pitbulls. ,0,0
wendy s.,5,2023-01-19,Gus favorite food ,Good food ,0,0
Jennifer A.,5,2023-01-19,Umbra and Theo think it's yummy!,"This was Theo's first food after weaning. He tried to eat his brother's food but it was too big and he couldn't bite through with his tiny teeth. Little Buddy Bites fire Labradors is the perfect size for all puppy teeth. At first we softened it but he really didn't need it as he was able to break it easily. Yummy and easy to eat, who can beat that? It had to be yummy because his big brother couldn't stay out of it!",0,0
Kayne T.,5,2023-01-18,"Ruby tested, Ruby approved 4 paws up!!!",Ruby absolutely loves the new food!!!,1,0
ALLEN B.,5,2023-04-15,Best dog food ,"Best dog food! Sabine was on science diet for about 4 months and let’s just say it didn’t agree w her. I tried a few others before Bark. And I won’t feed her anything else! She loves it! And sits and waits till I refill, even if she’s done. Thank you for great food and toys! ",0,0
Cynthia M.,5,2023-04-12,"So Stinky, My FUR Baby LOVES IT!","Her name is Kitty, she is nearly 100lbs and is 13 years old. I swear this food has giving her a second wind of life. Her coat is shiny, she sheds a lot less and she plays like she is a young pup. I am truly astonish on her transformation. Not to mention, when her Bark Box arrives at the house, she literally lights up. Just to see her happier and healthier is a blessing. Thank you BARK, for loving pups just as much as we do!",0,0
Richard A.,5,2023-04-01,Bark food,My dog hasn't seemed to like it so far and has strong fishy smell ,0,0
Vicky C.,5,2023-03-31,Loves the food ,She really likes it. She likes with a bit of water ,0,0
Michael F.,5,2023-03-31,Great Food,my dogs love this food,0,0
Donna H.,5,2023-07-09,Auger girls,"Kami and Dooney both loved this ice cream toy! 
Kuddos Bark box!",0,0
